"ID"	"CE1"	"CE2"	"CE3"	"CE4"	"CE5"	"CE6"	"CE7"	"CE8"	"CE9"	"CE10"
"TCGA.2J.AAB1.01"	0.201746921487805	0.064685393706378	0.0438151970740259	0.0370351823778904	0.0452985020085948	0.170487479926424	0.0391062532785777	0.0513763920808967	0.172427987760963	0.174020690298444
"TCGA.2J.AAB4.01"	0.19774263012214	0.113109679608311	0.068805412590728	0.155195253805847	0.020909619571483	0.0759839014062967	0.0173476895768404	0.0995211271610388	0.137952274590555	0.113432411566761
"TCGA.2J.AABF.01"	0.14712740427446	0.0251880078862326	0.161560396777936	0.0627063584443112	0.089232814794529	0.102974789738454	0.0529802637694387	0.0470421930183558	0.188474617177586	0.122713154118696
"TCGA.2J.AABH.01"	0.232078501385904	0.110438530796761	0.221103069878657	0.12153897535554	0.0403331376595846	0.0738680142372797	0.0461950152100554	0.0769165326652162	0.0600008690158389	0.0175273537951624
"TCGA.2J.AABI.01"	0.246140274257135	0.27601028918738	0.110663894972281	0.00655630826704658	1.10416982176292e-14	0.00448211228806665	0.012753259213422	0.0279075436816771	0.168312788904182	0.147173529228798
"TCGA.2J.AABK.01"	0.00582490323727796	0.188628086466447	0.0638592043216594	0.101546611744085	0.24708007941053	0.150238223008316	0.0454643248882489	0.133912192658478	0.0137676740535809	0.0496787002113763
"TCGA.2J.AABR.01"	0.131395498562762	0.0455117560332042	0.106984195893355	0.171766168006552	0.0593658370859585	0.136435671462787	0.0466638266212314	4.07777873624228e-13	0.141595754975128	0.160281291358615
"TCGA.2J.AABV.01"	0.0112240674556109	0.130244663195621	8.25214176376461e-14	0.553614831910689	9.29359566192896e-14	0.118093690572669	5.87322803857454e-14	0.00714650286162876	2.20178953929164e-08	0.179676221985652
"TCGA.2L.AAQA.01"	0.349851884085272	0.325972001681576	0.0407284212274166	0.050502172374483	2.78845361933145e-14	0.0100582561109634	0.134042881581905	0.0462112062309972	0.0350675109782658	0.00756566572909386
"TCGA.2L.AAQE.01"	0.243653235640089	0.0660477135814333	1.01452119803121e-14	0.14771555824946	0.00961987012524482	0.0912490389693315	0.0406013223289817	0.0640674339375418	0.07161561020405	0.265430216963857
"TCGA.2L.AAQI.01"	0.113911192948915	0.0702103865884334	0.0503839536620586	0.115223041750607	0.15168361015927	0.114093396082209	0.222731792075427	0.0947493145008932	0.0611362846102336	0.00587702762195315
"TCGA.2L.AAQJ.01"	0.258099024072431	0.0891364256873909	0.0509107107780374	0.0275845542343901	0.0152303200989637	0.118845907707752	0.121961947455854	0.016495243607569	0.0852794092857764	0.216456457071835
"TCGA.2L.AAQL.01"	0.116443263415184	0.0526554260536352	0.219125805076265	0.160573734253092	0.000233048123400884	0.190836682732531	0.0276463832818361	0.0307757928596443	0.156415306761454	0.0452945574429581
"TCGA.2L.AAQM.01"	0.0281536107235966	0.0016872741810448	0.12143460801849	0.0861650102280169	0.255004669632655	0.0770968859437095	0.0533520515944402	0.333448325688877	0.0245195933915089	0.019137970597661
"TCGA.3A.A9I5.01"	0.0491325388273715	0.0864114101753582	0.00401671873420358	0.270781301028565	0.189368505363675	0.067265870706762	0.0562214325627503	0.115802862207818	0.0478466754160385	0.113152684977457
"TCGA.3A.A9I9.01"	0.076938072939561	0.11382786245797	0.156457626832466	0.145178953355124	0.0941433369033373	0.144865326727266	0.0185549238448992	0.124233669835237	0.0941593752418748	0.0316408518622641
"TCGA.3A.A9IH.01"	0.308713155515437	0.187157388897793	0.0643796788950125	0.0969587166523328	0.144384425072544	0.0866337129168622	0.0532052501709235	0.0222729597010245	0.0220605267396583	0.0142341854384118
"TCGA.3A.A9IJ.01"	0.0166167364180917	0.00382244574978029	0.000443017053704671	0.212508288990554	0.239657665492844	0.108545602059414	0.0514135192189867	0.29423192738051	0.00845757745980127	0.0643032201763136
"TCGA.3A.A9IL.01"	0.0511112109700766	8.41336859413881e-15	0.00713330174083474	0.0791967250126584	0.180858135503502	0.267995207853903	0.100277078351612	0.292508330573661	0.00224788615479477	0.018672123838949
"TCGA.3A.A9IO.01"	0.00448142776709754	7.11890049404922e-05	1.01854924263616e-14	0.0329510347130415	0.259286389503938	0.0580100220339808	0.146965855052798	0.437147194534223	0.0403944476087483	0.0206924397812218
"TCGA.3A.A9IR.01"	0.0198967615364198	8.4470450776715e-15	9.5985927830269e-15	0.0267323594394725	0.141514946251047	0.0755561470282932	0.15447666064805	0.569442479165354	0.000669253284923056	0.0117113926464229
"TCGA.3A.A9IS.01"	1.16008800128768e-14	7.70509893138449e-15	9.55538035032294e-15	0.0497656831635602	0.274506075573083	0.00973680172277124	0.214706797143968	0.421283965152524	0.0176685928085497	0.0123320844355146
"TCGA.3A.A9IU.01"	0.422429205318501	0.197946365931126	0.0478624177666616	0.123247873703751	2.79251221993908e-12	0.00508791470556514	0.0792386683042076	0.058184460134353	0.00815162545052288	0.0578514686825185
"TCGA.3A.A9IZ.01"	0.206921099714515	0.314448174174732	0.0909188092483069	0.0996384991988849	0.00293938142290473	0.0709865406921671	0.118441537003914	0.060819233031135	0.0217203510278907	0.0131663744855487
"TCGA.3E.AAAY.01"	0.126917144763606	0.0202980447709295	0.114089772503706	0.0600473845070427	0.101922557671892	0.195871810406936	0.0474966299144674	0.0126703271823884	0.18740048177473	0.133285846504301
"TCGA.F2.6879.01"	0.4058354591802	0.0900660999152405	0.105191024977	1.53754650867769e-14	0.00522917295463042	0.0523807967869832	0.275090807481941	0.0273241192011324	0.0371327255086886	0.00174979399416853
