"ID"	"S01"	"S02"	"S03"	"S04"	"S05"	"S06"	"S07"	"S08"	"S09"
"TCGA.2J.AAB1.01"	0.23629704412604	0.0335661984399109	0.256051776132615	0.0270199263077924	0.20299888550291	0.0932862098844108	1.06918824139295e-14	0.0450001486804974	0.0770829766131549
"TCGA.2J.AAB4.01"	0.203016408083209	0.0572780261675001	0.172537525079077	0.0879897912046744	0.0793456201413469	0.0402894045356047	0.106279940826164	8.59292392764138e-15	0.240669702254109
"TCGA.2J.AABF.01"	0.158294334471338	0.164647888708013	0.236642040822206	0.213535621327759	0.0821719216288718	0.0809627197810756	0.0528553861175246	1.03320312835204e-14	0.00786984716615646
"TCGA.2J.AABH.01"	0.0473350080477997	0.187150088733599	0.137760772648227	0.221382917785554	0.0624064259643037	0.0733533283127252	0.0351655214463303	0.104180425957177	1.33874357215251e-14
"TCGA.2J.AABI.01"	0.128261522911585	7.44031804148987e-15	0.0644272184194766	0.070569083182488	7.44031804148987e-15	0.144689811156666	0.195521627706407	7.44031804148987e-15	0.012834886545292
"TCGA.2J.AABK.01"	0.0174524512659535	0.135496978669766	9.83376814146153e-15	9.83376814146153e-15	0.098885234826552	9.83376814146153e-15	0.408915525534046	6.84436315466619e-05	0.118234181260549
"TCGA.2J.AABR.01"	0.289446062715564	6.14346088217976e-15	0.229774269283717	0.146505746435715	0.13792563501359	0.0755679660575622	0.068846671032689	0.0487503521544843	6.14346088217976e-15
"TCGA.2J.AABV.01"	5.3691268802966e-15	5.3691268802966e-15	5.3691268802966e-15	5.3691268802966e-15	5.3691268802966e-15	5.3691268802966e-15	0.0479974168394751	5.3691268802966e-15	5.3691268802966e-15
"TCGA.2L.AAQA.01"	0.00624301601508166	9.98676840878349e-15	0.0210911885983362	0.0657994244040095	9.98676840878349e-15	0.0871899994636245	9.98676840878349e-15	0.295906021466353	0.117069334711286
"TCGA.2L.AAQE.01"	0.144806396962739	2.86157662567784e-05	8.69125472339163e-15	8.69125472339163e-15	0.0161829771843598	0.173800061877995	0.0202318209079995	0.0473018998023472	0.298438140821781
"TCGA.2L.AAQI.01"	0.0311735783450288	0.00993613646925946	0.0726241449627834	0.0213131446151123	0.138084067609598	0.01893286331223	0.0803835747294264	0.40051787770685	0.0741264394167288
"TCGA.2L.AAQJ.01"	0.175488867385238	0.128968596682692	0.0446999919579173	0.101870988899457	0.137880980690578	0.114773582819793	0.0442331573918414	0.0401527576874095	1.12465653805681e-14
"TCGA.2L.AAQL.01"	0.00283087904395073	0.407828283810235	0.192177464136726	0.0477240525174963	0.0507988217693733	0.127834841666083	0.0179143919362529	0.0385136693270259	8.21981804236899e-15
"TCGA.2L.AAQM.01"	5.17423427180042e-15	5.17423427180042e-15	5.17423427180042e-15	5.17423427180042e-15	0.0869746020314028	2.11915134777513e-08	5.17423427180042e-15	0.0160800637778619	0.178750241402568
"TCGA.3A.A9I5.01"	0.00104927014745768	1.01007123173541e-14	1.01007123173541e-14	1.01007123173541e-14	0.0348340075936501	0.0759134872496688	0.170276982531108	0.190023342473469	1.01007123173541e-14
"TCGA.3A.A9I9.01"	0.000819695522516119	0.481811418039246	0.0982295422147745	0.0929752945655973	8.8470064613597e-15	0.0196623462217398	0.150040114094998	8.8470064613597e-15	8.8470064613597e-15
"TCGA.3A.A9IH.01"	1.71350526295567e-14	0.129841923665461	0.0264883235065476	0.00865805633880673	0.121920154583189	0.208158312058878	0.278872682746267	1.71350526295567e-14	0.0244570136549302
"TCGA.3A.A9IJ.01"	4.754932630426e-15	0.00418893988064895	0.007470480315985	4.754932630426e-15	4.754932630426e-15	0.00924511095338827	0.00940788224694991	0.102962209424638	0.309528019384725
"TCGA.3A.A9IL.01"	0.00409605278702342	6.87862588243294e-15	0.0051187784611492	6.87862588243294e-15	0.175702752657353	6.87862588243294e-15	6.87862588243294e-15	0.19191313236585	0.160377311722369
"TCGA.3A.A9IO.01"	0.00389478461926496	5.45856423513151e-15	5.45856423513151e-15	5.45856423513151e-15	0.0641803630528424	5.45856423513151e-15	0.000188678155542424	0.192751617927572	0.0638469971118687
"TCGA.3A.A9IR.01"	5.28613441142499e-15	5.28613441142499e-15	5.28613441142499e-15	5.28613441142499e-15	0.0281846601438692	5.28613441142499e-15	5.28613441142499e-15	0.100172301331408	0.124645517781584
"TCGA.3A.A9IS.01"	3.81583682677386e-15	3.81583682677386e-15	3.81583682677386e-15	3.81583682677386e-15	0.00969797993856965	3.81583682677386e-15	3.81583682677386e-15	0.221227687322161	0.0868283650853396
"TCGA.3A.A9IU.01"	1.18872826025131e-14	2.35299434816708e-10	1.18872826025131e-14	0.109093290783972	1.18872826025131e-14	0.2702586274488	0.088568169528047	1.18872826025131e-14	0.0449503152719515
"TCGA.3A.A9IZ.01"	9.33824285928511e-15	9.33824285928511e-15	9.33824285928511e-15	0.026282483889904	9.33824285928511e-15	0.075274802732338	0.210420669709373	0.0985920241769	9.33824285928511e-15
"TCGA.3E.AAAY.01"	0.155380160312051	0.163181887975568	0.207129022041832	0.170471811944119	0.181385503825982	0.0761111040183075	0.0463405098291124	6.3007903207377e-15	5.29965212990282e-11
"TCGA.F2.6879.01"	1.47660522486205e-08	0.191192772386956	0.0752147456147692	0.0971028865283901	9.7988065285387e-15	0.148150544717052	1.94711094680708e-10	0.353199435400125	9.7988065285387e-15
"TCGA.F2.6880.01"	3.87048035285632e-15	3.87048035285632e-15	8.18152364691875e-05	0.000532669359317944	0.00119481131173052	3.87048035285632e-15	3.87048035285632e-15	3.87048035285632e-15	3.87048035285632e-15
