"ID"	"S01"	"S02"	"S03"	"S04"	"S05"	"S06"	"S07"	"S08"
"TCGA.2J.AAB6.01"	0.0204504366626494	8.90380305409924e-15	0.0121282210618716	0.000332587851366176	8.90380305409924e-15	0.0712533343375053	8.90380305409924e-15	0.383632971836271
"TCGA.2J.AAB8.01"	0.0341772499502375	0.00153132278416693	0.121577164011386	0.0284218275139291	0.391176602055421	0.0354700412633162	9.95000878781012e-15	0.115652939999937
"TCGA.2J.AAB9.01"	0.140346372961652	0.0161296820320469	1.22679615585301e-14	8.42670753381064e-10	0.0977844965124011	0.113379558541604	1.22679615585301e-14	0.107099284049757
"TCGA.2J.AABA.01"	1.21511210445557e-14	0.0956104823338625	0.0745322596092012	0.0983292078925295	0.349971129594837	0.0308216726153619	0.000339172180304101	0.090318394947023
"TCGA.2J.AABE.01"	0.0175856345188171	1.33729627440453e-14	0.0939874693896178	0.0204808515837711	0.297620709147534	0.0616270386090792	0.00882286139410798	0.0377278934111677
"TCGA.2J.AABO.01"	0.120287002276268	0.0211878194724037	0.0520619008559974	0.00699675380719265	0.199068942350483	0.123627927127639	1.13929743413773e-14	0.154273229033517
"TCGA.2J.AABP.01"	0.0782411794074707	0.0428314694532306	0.0432734506419767	5.30211738861081e-15	0.0140142269713689	0.149795831546242	0.0985032760272632	0.290581478715467
"TCGA.2J.AABT.01"	0.0517497773574285	0.442411165023633	0.000102817179817329	0.0308827154575397	0.07275959561623	0.0644812469038403	0.0209666130955403	0.0259651418243922
"TCGA.2J.AABU.01"	0.0378516416099033	0.0213969263466376	0.0286013125475369	0.0174855001930887	0.0967935237621876	0.0234178351623818	9.44903134271302e-15	0.259968740271026
"TCGA.3A.A9I7.01"	0.116497148752138	0.0798235056344323	0.106446345916745	0.0147922898039745	0.172756923379571	0.0562126026986571	0.0287292970478131	0.219165013564263
"TCGA.3A.A9IB.01"	0.126742872018693	0.0579306486353116	0.0277650162069265	0.00466782869799238	0.0645852960845147	0.0499360697658836	0.00795635077220591	0.278443895174086
"TCGA.3A.A9IC.01"	0.0647267519960719	0.0274011140036184	0.190718247033445	1.03003263836e-14	0.0598648745073806	0.0274889922562482	1.03003263836e-14	0.115109308805185
"TCGA.3A.A9IN.01"	0.025489695179982	0.0636894861560404	5.13350279618375e-15	0.00303086810135469	0.0955398499455707	0.436122071399416	5.13350279618375e-15	0.0288691034803115
"TCGA.3A.A9IV.01"	0.00991555817831237	1.33512208519018e-13	5.13223279515688e-15	0.111732697716255	0.0500153303921509	0.359688997794455	5.13223279515688e-15	0.0242417809265437
"TCGA.3A.A9IX.01"	0.16878610722172	0.122975139339101	0.00187316902557266	0.0734950889569882	0.138306528138929	0.147010886789653	0.188417998964119	0.0196573223736694
"TCGA.3A.A9J0.01"	0.00726176388797537	1.05997242565136e-14	0.0333456878891557	0.00838360187033169	0.147319058879024	0.0121221681470653	0.00799007701317828	0.15130991177631
"TCGA.3E.AAAZ.01"	0.116034637244429	0.215652210958839	0.0028449289195543	0.053527531719249	0.129832890099943	0.0612049016207275	9.65464893318462e-15	0.0900583181028981
"TCGA.F2.7273.01"	0.132896134112475	0.176388736072908	0.0338782349189224	0.131106820222825	1.05747911517357e-14	0.126414022411463	0.168648473132755	0.0138176858361386
"TCGA.F2.7276.01"	0.151213124194621	0.12538772586297	0.0136717852639402	0.221444427814039	1.55983643660733e-13	0.15239993930817	0.142306681662163	0.0665970163615686
"TCGA.F2.A44G.01"	0.0578844627650033	1.17797157664623e-14	0.0271320707675519	0.0676369103812498	0.129728493004081	0.0114559391935039	0.0175233463328152	0.129433397265454
"TCGA.F2.A44H.01"	0.136736074816388	0.00304669427036058	0.0909397938928335	1.14938746413898e-14	0.101798715256797	0.0733183108923098	0.0108960108735572	0.0209850668063973
"TCGA.FB.A4P5.01"	0.115832438215592	0.147862032107417	0.00892326127686538	0.0172831039595005	0.186543928743045	0.128945026227223	0.260862158392783	0.0314453784561823
"TCGA.FB.A545.01"	0.0156806998796178	9.62217270154257e-15	0.0168884211404319	0.0328156317042699	0.180659183593532	0.0568531714408851	9.62217270154257e-15	0.209240920249924
"TCGA.FB.A7DR.01"	0.0864308020228781	0.360595635058251	0.0398446002737378	0.00592445173814784	0.0746583596290851	0.0741833466593619	9.69681904476278e-15	0.159083580000076
"TCGA.FB.AAPS.01"	0.144100292025992	0.107071192160683	0.32802895234393	1.02211890245443e-14	0.0851711074429823	0.0264215243033819	0.0755183173299446	0.0323418066343348
"TCGA.H6.8124.01"	0.0180149455941063	1.02197230604937e-14	0.0275308716014613	0.117788798429466	0.0836927614174772	0.0277832501627402	1.02197230604937e-14	0.184171301221768
"TCGA.H6.A45N.01"	0.0673872085469596	0.0739305003661004	0.0464581594595934	0.0278744147426959	0.31549570396054	0.255219475713731	0.121315717687293	0.0221889118693512
"TCGA.HV.A5A4.01"	0.0427301500534463	1.32138892726869e-14	0.0538073907227232	0.0229484851228542	0.344563170476057	0.0653782227035308	0.0252088539341212	0.0353185419358106
"TCGA.HV.AA8V.01"	0.0431581080201491	0.0132830893773892	0.301761637636444	1.36293576569038e-14	0.228856352303557	0.0131700943733518	1.36293576569038e-14	0.131192740524187
"TCGA.HZ.7918.01"	0.068106642482308	0.00225992080720236	0.00510704125424884	0.134044394628669	1.04792991410107e-14	0.109961047808346	0.16838628683044	0.0298310784071089
"TCGA.HZ.7920.01"	0.0157893052397849	0.146328269125347	6.72255480368151e-05	0.208092694080417	8.22456093358428e-15	0.272130621370846	0.0976449151402632	0.0402565173464091
