"ID"	"S01"	"S02"	"S03"	"S04"	"S05"	"S06"	"S07"	"S08"	"S09"
"TCGA.2J.AAB6.01"	6.18761470995609e-15	6.18761470995609e-15	0.0121013521429671	0.00452805926343382	6.18761470995609e-15	0.0425803266366516	0.30067111222033	0.00503077047853134	0.0169145848235819
"TCGA.2J.AAB8.01"	8.32086293557166e-15	8.32086293557166e-15	0.00280669056927521	0.0389735949621255	0.00109092456649251	0.104846618969083	0.0223202484790057	0.198186127405511	0.0803408996094429
"TCGA.2J.AAB9.01"	0.00321139422534189	0.0270307644087096	0.00012953377108079	1.15350064289292e-14	0.0456092338504765	0.00806366198621062	0.122191374424336	0.0323325864607665	0.0696274337030462
"TCGA.2J.AABA.01"	0.0080787708552898	8.11692002939015e-15	1.02544719775805e-05	8.11692002939015e-15	0.0181309707521927	0.0673073871869545	0.0638745564168909	0.109280895034232	0.205722490544324
"TCGA.2J.AABE.01"	8.63840658951373e-15	0.319581720229905	0.00142939350611798	0.0491233326287791	8.63840658951373e-15	0.0827275737777592	0.027651865049235	0.0419138917838454	0.0800453813388647
"TCGA.2J.AABO.01"	7.97321616142388e-15	7.97321616142388e-15	7.97321616142388e-15	7.97321616142388e-15	8.76863855409182e-05	0.0489311085460245	0.0788933922262197	0.129999162661947	0.0652083354752998
"TCGA.2J.AABP.01"	3.9181078033705e-15	3.9181078033705e-15	0.241576617862503	0.0854744136394363	0.0600613325689937	0.138351938277183	0.280853835681708	0.0376928557341712	3.9181078033705e-15
"TCGA.2J.AABT.01"	0.0347649054722291	0.230433622828413	0.0466624508025537	0.110747608886529	0.0828312820424211	0.0158690840064941	0.0747013465629822	0.0749208512035803	0.0568842736703594
"TCGA.2J.AABU.01"	6.96105522446654e-15	6.96105522446654e-15	0.00268951915634558	6.96105522446654e-15	0.0164817808222866	0.0446551636537885	0.03338836033201	0.106723571934838	0.0246656889179235
"TCGA.3A.A9I7.01"	0.0703900564495023	1.05296484985288e-14	0.0359035853829397	1.05296484985288e-14	1.05296484985288e-14	0.081391050728607	0.0510211958390876	0.0807506377743073	0.182783528908386
"TCGA.3A.A9IB.01"	9.0526165959711e-15	9.0526165959711e-15	9.0526165959711e-15	0.081359015659182	0.0515712046458377	0.0887853723836834	0.2366769042235	0.0935655773109837	0.0366271644661412
"TCGA.3A.A9IC.01"	7.31275954750728e-15	7.31275954750728e-15	7.31275954750728e-15	0.00993670838118642	7.31275954750728e-15	0.143821783482291	0.0247667953779196	0.0150699249188195	0.0478662141345714
"TCGA.3A.A9IN.01"	4.48085143593421e-15	4.48085143593421e-15	4.48085143593421e-15	4.48085143593421e-15	0.122820920478624	4.48085143593421e-15	0.0538333285942436	0.00667767738246985	0.240934838531433
"TCGA.3A.A9IV.01"	3.95174382497904e-15	3.95174382497904e-15	3.95174382497904e-15	3.95174382497904e-15	0.0218929955466961	0.00519780539822133	0.00857114780600594	0.128538455935712	0.15727305159649
"TCGA.3A.A9IX.01"	0.336083542075677	9.84091538028392e-15	9.84091538028392e-15	0.0524177137707467	0.143879336205099	0.018523933491747	0.0949718188145213	0.0403974680306615	0.140520383046703
"TCGA.3A.A9J0.01"	7.47822203928707e-15	0.0202437349575453	7.47822203928707e-15	7.47822203928707e-15	7.47822203928707e-15	0.055220661833258	0.178406930904427	0.0606525441039865	0.00693727542317446
"TCGA.3E.AAAZ.01"	8.06774694227046e-15	8.06774694227046e-15	3.63482609579448e-12	8.06774694227046e-15	0.0144236368026733	8.06774694227046e-15	0.0486049044150109	0.11850189453113	0.00370957651465822
"TCGA.F2.7273.01"	0.146234738469218	0.169685369863375	0.0103855632057267	0.215706692586998	0.182099523581976	3.58696035960922e-09	0.0138932009533853	0.0609962964746991	0.0504804365062156
"TCGA.F2.7276.01"	0.137897369255916	0.00576729338934832	0.0883697274846911	0.147669206764917	0.204743523868399	8.47879088126184e-15	0.160140223683851	0.0982110658913742	0.0714578346590152
"TCGA.F2.A44G.01"	7.66302351041629e-15	0.0163647663833985	7.66302351041629e-15	0.0518358072698931	7.66302351041629e-15	0.0109281645593782	0.203798453530969	0.0811517748714207	0.0149795934487851
"TCGA.F2.A44H.01"	7.86530433344112e-15	0.29070961880134	0.0324624032787226	0.153958849213062	0.00102370244187791	0.0366636033302597	0.0251596257602328	7.86530433344112e-15	0.0370509837561904
"TCGA.FB.A4P5.01"	0.246571204596311	0.0782322382627631	0.201179024391088	0.0473236799199203	0.123507766743318	7.18549194833436e-15	0.092387432871216	0.016385358468253	0.140632472155043
"TCGA.FB.A545.01"	4.4765103179919e-15	4.4765103179919e-15	4.4765103179919e-15	4.4765103179919e-15	4.4765103179919e-15	0.0384152733013179	0.0457770310157309	0.0738913078318704	0.0441264584871323
"TCGA.FB.A7DR.01"	8.45667196616939e-15	2.45478512969418e-10	0.0407906149727369	2.25145153071452e-11	0.0718944970251921	0.0543810906068443	0.163810543981322	0.120414542166288	0.0999861787159516
"TCGA.FB.AAPS.01"	0.0881769390111861	0.163769624600097	0.0304006890785732	7.40132782443897e-15	0.0691025000468773	0.31886319414973	0.0272169786941326	7.40132782443897e-15	0.0657190757030157
"TCGA.H6.8124.01"	5.68322763025251e-15	5.68322763025251e-15	5.68322763025251e-15	5.68322763025251e-15	5.68322763025251e-15	0.0315943385820353	0.0446514947558016	0.174038459597416	0.0383563879341533
"TCGA.H6.A45N.01"	0.133782810466595	0.124023487711739	0.0764997956696942	0.0365482424926274	0.0668541326267609	0.0487635244037802	0.0894758476013463	0.0243769707594961	0.314001557880871
