"ID"	"S01"	"S02"	"S03"	"S04"	"S05"
"TCGA.2J.AAB6.01"	1.16496962927846e-14	0.0766853609390163	1.16496962927846e-14	0.107763737789414	0.0791695668172925
"TCGA.2J.AAB8.01"	0.0140157931655597	0.286972434784991	0.00670784024791233	0.154640728045346	0.119437590886451
"TCGA.2J.AAB9.01"	0.0391812776658277	2.66177405895511e-06	0.0811781429379016	0.150382415617244	0.266967740741548
"TCGA.2J.AABA.01"	0.0534066247295655	0.19115849560314	0.0684944994318564	0.165349300864384	0.332806703522891
"TCGA.2J.AABE.01"	1.52622664296033e-14	0.0874302635737419	0.0629550153663197	0.259063507901654	0.0747442492923949
"TCGA.2J.AABO.01"	0.0879028880970607	0.12108219473386	1.34981834869303e-14	0.308826410379327	0.168283568541975
"TCGA.2J.AABP.01"	7.01464732952424e-15	0.359321709438946	0.129204571546021	0.00169764857427279	0.144573792905613
"TCGA.2J.AABT.01"	0.531904049229733	0.190487951190191	0.0136990454312854	0.0776579295511013	0.111180522440058
"TCGA.2J.AABU.01"	0.0718760186172922	0.125602565439095	1.10495516364079e-14	0.0763691864682382	0.114267535450627
"TCGA.3A.A9I7.01"	0.107234277351453	0.147277943116633	0.0158385311637681	0.215640643590089	0.38305836393473
"TCGA.3A.A9IB.01"	0.0486803336933235	0.223239949368895	0.0280279178881387	0.0120911341121652	0.408110675243534
"TCGA.3A.A9IC.01"	0.0490289650504022	0.368619474099116	1.20575088841998e-14	0.0439767306798905	0.0720324122788221
"TCGA.3A.A9IN.01"	0.171609957479767	5.17158774931443e-15	0.0506023323683936	0.456307524437947	0.271752417733119
"TCGA.3A.A9IV.01"	0.0114040322932171	5.29172759939139e-15	0.000583229902104402	0.485358216570749	0.205840774730577
"TCGA.3A.A9IX.01"	0.205864010689082	0.0514368044420019	0.236568988461872	0.250484871969822	0.199515761396694
"TCGA.3A.A9J0.01"	0.0332332137704918	0.0451842758574225	0.0216241126536689	0.0908742042903355	0.0831013683190888
"TCGA.3E.AAAZ.01"	0.451184593851351	0.0933817966889389	0.00452240062613265	0.125928552198478	0.070238701204128
"TCGA.F2.7273.01"	0.223641420461934	0.299807258638825	0.134560143339088	0.151195970689007	0.155277918795864
"TCGA.F2.7276.01"	0.27161276485667	0.165741337134928	0.153821191189328	0.254880764697407	0.153943829371798
"TCGA.F2.A44G.01"	1.37554962371653e-14	0.0787791789693294	0.0251361443111913	0.104996156803974	0.0730294702417918
"TCGA.F2.A44H.01"	0.0228203424827055	0.141019613202707	0.101828058059135	0.0926998524050732	0.163879957228163
"TCGA.FB.A4P5.01"	0.276722014817529	9.52335092264526e-15	0.340128119783124	0.183752837149568	0.180789352673754
"TCGA.FB.A545.01"	1.11898954565695e-14	0.0762812999286427	1.11898954565695e-14	0.207936242564589	0.0778703656516445
"TCGA.FB.A7DR.01"	0.425946347561281	0.271581554866989	8.34316576820922e-15	0.0904008104971393	0.163458915861852
"TCGA.FB.AAPS.01"	0.192757138131404	0.306628211068554	0.285039140990583	0.0554771925168056	0.0974236259243871
"TCGA.H6.8124.01"	1.20444973835035e-14	0.107775000314509	1.20444973835035e-14	0.229642673054154	0.065916558132779
"TCGA.H6.A45N.01"	0.0561374237723466	0.0232737519889554	0.22263278314538	0.49347991764872	0.180919833049806
"TCGA.HV.A5A4.01"	1.33652835277962e-14	0.0113184851671575	0.0837321402804022	0.391659169575889	0.126095997576835
"TCGA.HV.AA8V.01"	6.02648709034695e-12	0.321923080269785	0.0269437999670841	0.159675745671714	0.260033235725042
"TCGA.HZ.7918.01"	0.0291898375956123	0.206692810715994	0.146979960305308	0.175185098729586	0.123905252056812
"TCGA.HZ.7920.01"	0.293877988664802	0.0587306528834166	0.138059321925698	0.393600953696755	0.115623260030789
"TCGA.HZ.7922.01"	0.0106015157065346	0.525420768912975	1.43919029196315e-14	0.0814382903672541	0.0306749760494321
"TCGA.HZ.7923.01"	0.42245532790149	7.49114175230258e-15	0.19844358586215	0.196383036212173	0.182718050024173
"TCGA.HZ.7925.01"	0.00970750717548015	0.738444901973151	0.0154233464275906	0.0110023000548494	0.0612372335425641
"TCGA.HZ.8001.01"	0.331118135782347	0.0222880361463349	0.218218119507198	0.174430430354404	0.173125031410422
"TCGA.HZ.8002.01"	0.444692736219575	0.110011515809842	0.0870128476986282	0.212945689652735	0.145337210619211
"TCGA.HZ.8003.01"	0.0538425663112217	1.24538037135267e-14	0.0527891719231639	0.144571760326012	0.112584875447729
"TCGA.HZ.8005.01"	2.18289430728114e-07	0.222616599441003	1.08801213232975e-14	1.08801213232975e-14	0.0133436880282925
"TCGA.HZ.8315.01"	0.00436109317556607	0.372572429199657	0.0484300269020862	0.155076537370112	0.32868264511027
"TCGA.HZ.8519.01"	0.365820583316372	2.58316679781959e-12	0.0994163359367881	0.424960757931867	0.109802322812382
"TCGA.HZ.8636.01"	1.96160660081062e-11	0.409883065194629	0.0238697889858564	0.294011324428998	0.159183694777275
"TCGA.HZ.8637.01"	0.0409412445194855	8.65536775219236e-15	0.313857948263834	0.407835522113112	0.176668468247892
"TCGA.HZ.A49G.01"	0.0666588033313835	1.22510865438313e-14	0.252239465903797	0.321516617007165	0.221627918393189
"TCGA.HZ.A49H.01"	0.350351600097482	9.47833582779139e-15	0.248817930087917	0.110790806134864	0.191218286995997
"TCGA.HZ.A77P.01"	0.636255211900502	0.0346712815634495	0.0190926209668671	0.108064326922899	0.188395584203041
"TCGA.HZ.A77Q.01"	0.191061256159226	0.498567171572034	0.243112633318203	0.00390453991988223	0.00855472951089592
