"ID"	"S01"	"S02"	"S03"	"S04"	"S05"
"TCGA.2J.AAB1.01"	0.0354009045225627	0.1863035236349	0.129339227023037	1.31725605813883e-14	0.387565189528922
"TCGA.2J.AAB4.01"	1.8846559459832e-14	1.8846559459832e-14	0.203109055025911	1.8846559459832e-14	0.330507307931088
"TCGA.2J.AABF.01"	0.163048923012608	0.226201433790795	0.170906622937334	1.06687456231772e-14	0.43984302025921
"TCGA.2J.AABH.01"	2.24095123049348e-14	2.24095123049348e-14	0.405096679767915	0.060832101157989	2.24095123049348e-14
"TCGA.2J.AABI.01"	0.584441778442114	1.26090892180737e-14	1.26090892180737e-14	7.64679266287922e-11	0.245821866765201
"TCGA.2J.AABK.01"	0.0821037500639539	0.594726228883812	0.00215207318123906	1.0866815872516e-14	0.0187059348471421
"TCGA.2J.AABR.01"	0.163057328556668	0.300285011978867	2.34015402154392e-07	7.94930842694507e-15	0.536657425449023
"TCGA.2J.AABV.01"	1.14951143616961e-14	1.14951143616961e-14	1.14951143616961e-14	1.14951143616961e-14	1.14951143616961e-14
"TCGA.2L.AAQA.01"	2.0227025121674e-14	2.0227025121674e-14	2.0227025121674e-14	2.0227025121674e-14	0.115894286361198
"TCGA.2L.AAQE.01"	0.749989014193887	1.60813108418067e-14	1.60813108418067e-14	1.60813108418067e-14	0.250010985806
"TCGA.2L.AAQI.01"	3.16046329143403e-11	0.239199497375701	2.1742615277524e-14	0.165739868019492	2.1742615277524e-14
"TCGA.2L.AAQJ.01"	0.571128040330498	7.0284794325637e-13	3.39940359073657e-09	0.0241261265920652	0.0813385063640751
"TCGA.2L.AAQL.01"	0.100808651864025	0.000728091879447292	0.113984930110675	1.64548067388575e-14	1.64548067388575e-14
"TCGA.2L.AAQM.01"	9.30384634600623e-15	9.30384634600623e-15	9.30384634600623e-15	0.039702879700021	9.30384634600623e-15
"TCGA.3A.A9I5.01"	0.386867074465794	0.434986331270294	1.35413475525578e-14	0.115114545461871	0.0630320488019729
"TCGA.3A.A9I9.01"	2.20306440560466e-14	2.20306440560466e-14	0.432791997889189	2.20306440560466e-14	0.0256059330794374
"TCGA.3A.A9IH.01"	0.0526772053904626	0.363025682689219	1.54591607923877e-14	1.54591607923877e-14	0.0299017540162559
"TCGA.3A.A9IJ.01"	1.07305624611827e-14	0.0328054171304894	0.0228148876321567	1.07305624611827e-14	1.07305624611827e-14
"TCGA.3A.A9IL.01"	1.67420544401569e-14	1.67420544401569e-14	0.52557592969887	1.67420544401569e-14	1.67420544401569e-14
"TCGA.3A.A9IO.01"	0.0103547199431858	1.09658497497031e-14	0.0282246287225991	0.335543594595718	0.176510553411583
"TCGA.3A.A9IR.01"	5.29770808835671e-15	5.29770808835671e-15	0.0601321755205415	5.29770808835671e-15	5.29770808835671e-15
"TCGA.3A.A9IS.01"	8.60907955276505e-15	8.60907955276505e-15	8.60907955276505e-15	8.60907955276505e-15	8.60907955276505e-15
"TCGA.3A.A9IU.01"	0.164512416867772	1.23750104632611e-14	1.23750104632611e-14	0.117595196722186	1.23750104632611e-14
"TCGA.3A.A9IZ.01"	1.03400392971839e-14	1.03400392971839e-14	1.03400392971839e-14	0.328961261687659	1.03400392971839e-14
"TCGA.3E.AAAY.01"	0.204347455245085	0.39140552268727	0.00423116712164429	8.95578198492582e-15	0.400015854945956
"TCGA.F2.6879.01"	2.51441572031366e-14	2.51441572031366e-14	2.51441572031366e-14	2.51441572031366e-14	5.44124054622786e-07
"TCGA.F2.6880.01"	7.97343619187127e-15	7.97343619187127e-15	7.97343619187127e-15	0.244960874841722	7.97343619187127e-15
"TCGA.F2.A7TX.01"	0.149379204758612	1.00595846055123e-14	0.136087249426482	1.00595846055123e-14	0.292952830949945
"TCGA.F2.A8YN.01"	2.16902076365102e-14	2.16902076365102e-14	0.135598559535413	2.16902076365102e-14	2.16902076365102e-14
"TCGA.FB.A4P6.01"	0.0718439374040997	1.17607007676182e-14	0.603090254130572	1.17607007676182e-14	0.325065808465257
"TCGA.FB.A5VM.01"	0.421297528849633	1.13290322503254e-14	1.13290322503254e-14	0.321998458877951	0.210133494676301
"TCGA.FB.A78T.01"	1.84694521585236e-14	1.84694521585236e-14	0.342724777543873	1.84694521585236e-14	0.222770138647028
"TCGA.FB.AAPP.01"	8.98772835925658e-15	8.98772835925658e-15	8.98772835925658e-15	8.98772835925658e-15	8.98772835925658e-15
"TCGA.FB.AAPQ.01"	0.0109009813744667	0.0435632333718673	1.2557132322791e-14	0.104179200221123	1.2557132322791e-14
"TCGA.FB.AAPU.01"	0.0481825182980874	0.0122684184141536	1.47607316534367e-14	1.47607316534367e-14	0.119162055155306
"TCGA.FB.AAPY.01"	0.442701243367041	0.000255708527020546	0.107680353720144	0.0800524601802687	0.369310234205489
"TCGA.FB.AAPZ.01"	0.119260130285316	1.29723585343633e-14	0.40765993819729	0.162850047176425	0.310229884340903
"TCGA.FB.AAQ0.01"	1.40607613431141e-14	1.40607613431141e-14	1.40607613431141e-14	1.40607613431141e-14	1.40607613431141e-14
"TCGA.FB.AAQ1.01"	2.22713742332338e-14	2.22713742332338e-14	0.193593623863872	2.22713742332338e-14	5.97359683841079e-09
"TCGA.FB.AAQ2.01"	0.362770823977492	0.120915553619464	1.47396724468554e-14	0.10988858456926	0.0674650074871334
"TCGA.FB.AAQ3.01"	1.13194026075387e-14	1.13194026075387e-14	1.13194026075387e-14	1.13194026075387e-14	1.13194026075387e-14
