"ID"	"S01"	"S02"	"S03"	"S04"	"S05"
"TCGA.2J.AAB1.01"	0.40351620573167	1.5960138149653e-14	0.330199038862041	1.5960138149653e-14	1.5960138149653e-14
"TCGA.2J.AAB4.01"	0.0893599037894096	1.94913745308497e-09	0.46151865086792	1.47932820027642e-14	1.47932820027642e-14
"TCGA.2J.AABF.01"	0.247785114153399	2.28546423923209e-07	0.170323775031973	1.05189664984515e-14	1.05189664984515e-14
"TCGA.2J.AABH.01"	1.58969669601306e-14	1.58969669601306e-14	0.133563171162521	0.420573152080978	2.3680212665401e-08
"TCGA.2J.AABI.01"	0.116790147579595	7.2607205236548e-15	0.0283372037042622	0.229103588035268	7.2607205236548e-15
"TCGA.2J.AABK.01"	7.85643475099338e-08	0.124727616333876	0.0473378495597174	0.325397945450318	1.05409686972888e-14
"TCGA.2J.AABR.01"	0.218595558952989	0.157148643666078	0.242403417682156	9.2225242473277e-15	9.2225242473277e-15
"TCGA.2J.AABV.01"	1.3851776109601e-14	0.13486390672622	1.3851776109601e-14	0.347618625973414	1.3851776109601e-14
"TCGA.2L.AAQA.01"	1.53626732745548e-14	1.53626732745548e-14	0.0554585294847986	1.53626732745548e-14	1.53626732745548e-14
"TCGA.2L.AAQE.01"	0.0411908963092787	5.29611488840248e-15	0.00610803525897534	0.140699339972224	7.77691935963766e-14
"TCGA.2L.AAQI.01"	1.41836733797302e-14	0.131332219617325	0.160363873413899	1.41836733797302e-14	0.152850492893232
"TCGA.2L.AAQJ.01"	0.173232858129906	1.93507006776767e-14	0.0562943248007223	1.93507006776767e-14	1.93507006776767e-14
"TCGA.2L.AAQL.01"	0.242988951637185	8.52197691343235e-15	0.0833060305479517	0.409948037215303	8.52197691343235e-15
"TCGA.2L.AAQM.01"	0.0300802781322621	0.0181708341241439	0.0535074256048162	1.07270789667392e-14	1.07270789667392e-14
"TCGA.3A.A9I5.01"	0.061349918166726	0.0225231128852539	0.00455454287487449	0.200036452956647	3.89644236785471e-15
"TCGA.3A.A9I9.01"	1.02147088136646e-14	0.197390509846344	0.0262093582566112	0.303105972619512	1.82814116545027e-13
"TCGA.3A.A9IH.01"	0.0123047508984879	0.301048781465678	0.0506889644311016	2.29124719998627e-14	0.0349508420747658
"TCGA.3A.A9IJ.01"	7.14548550866559e-15	7.14548550866559e-15	0.0725497972198099	7.14548550866559e-15	7.14548550866559e-15
"TCGA.3A.A9IL.01"	8.13594168891147e-15	0.0208657770552067	0.139896735667077	8.13594168891147e-15	8.13594168891147e-15
"TCGA.3A.A9IO.01"	1.08300480644793e-14	1.08300480644793e-14	1.08300480644793e-14	1.08300480644793e-14	1.08300480644793e-14
"TCGA.3A.A9IR.01"	9.04753289838475e-15	9.04753289838475e-15	9.04753289838475e-15	9.04753289838475e-15	9.04753289838475e-15
"TCGA.3A.A9IS.01"	7.05717196039942e-15	7.05717196039942e-15	7.05717196039942e-15	7.05717196039942e-15	7.05717196039942e-15
"TCGA.3A.A9IU.01"	1.32829489600055e-14	0.117498835790831	0.107058102878108	1.32829489600055e-14	1.32829489600055e-14
"TCGA.3A.A9IZ.01"	1.5142032090256e-14	2.07249745203369e-08	0.129590144490745	2.28572172773534e-12	1.5142032090256e-14
"TCGA.3E.AAAY.01"	0.198985548049039	9.92105840536242e-15	0.27156678659303	0.245263489144436	9.92105840536242e-15
"TCGA.F2.6879.01"	1.18369165723463e-14	0.0190372117163519	0.186817439428563	1.18369165723463e-14	1.18369165723463e-14
"TCGA.F2.6880.01"	1.24424818540185e-14	1.24424818540185e-14	1.24424818540185e-14	0.0625915747390864	1.24424818540185e-14
"TCGA.F2.A7TX.01"	0.35624420338309	0.098539705148502	9.62802707094621e-15	9.62802707094621e-15	9.62802707094621e-15
"TCGA.F2.A8YN.01"	6.11400011301382e-15	6.11400011301382e-15	0.020125933882482	0.0201957153697253	6.11400011301382e-15
"TCGA.FB.A4P6.01"	0.116893644674583	0.166065699582296	0.12761250534003	6.01965365066439e-15	6.01965365066439e-15
"TCGA.FB.A5VM.01"	0.281988480710586	7.37491214213302e-15	7.37491214213302e-15	0.197311817206289	7.37491214213302e-15
"TCGA.FB.A78T.01"	0.333514858284152	0.0136006135140522	0.0882578621938192	0.0232903432056727	1.59850245094913e-14
"TCGA.FB.AAPP.01"	9.73221287634688e-15	9.73221287634688e-15	9.73221287634688e-15	0.0996821079347697	0.000289607282273098
"TCGA.FB.AAPQ.01"	1.83791024698489e-14	1.83791024698489e-14	0.246488989288475	1.83791024698489e-14	1.83791024698489e-14
"TCGA.FB.AAPU.01"	1.16718379987732e-14	1.16718379987732e-14	1.16718379987732e-14	0.23231879221402	0.0722327315597026
"TCGA.FB.AAPY.01"	0.339000902807525	1.25766457525754e-14	0.0963376633505384	0.0930771430502795	1.25766457525754e-14
"TCGA.FB.AAPZ.01"	0.255840625706584	6.36409516412607e-07	0.162925461735752	0.0297166473949626	1.44545781394625e-14
"TCGA.FB.AAQ0.01"	7.60600668862824e-15	7.60600668862824e-15	7.60600668862824e-15	7.60600668862824e-15	0.518429006778374
"TCGA.FB.AAQ1.01"	8.97539284154292e-15	0.175001161101714	0.100553334857112	0.275932356210518	8.97539284154292e-15
"TCGA.FB.AAQ2.01"	1.08984693032723e-14	0.0836926850275293	2.94881841452398e-14	0.0489566387695844	1.08984693032723e-14
"TCGA.FB.AAQ3.01"	1.02626442512136e-14	1.02626442512136e-14	0.0260739352098081	0.297439552992468	1.02626442512136e-14
