"ID"	"S01"	"S02"	"S03"	"S04"	"S05"
"TCGA.2J.AAB6.01"	1.01900264678536e-14	0.00313703277492407	0.0139724986823458	0.0120935143772403	0.0002279045867326
"TCGA.2J.AAB8.01"	1.52426305968398e-14	1.52426305968398e-14	0.00368837895607609	0.0987933954910823	0.0183844277840863
"TCGA.2J.AAB9.01"	0.00154249932869615	0.0104609752162773	0.0775674902711244	0.153822967864127	0.200826973857267
"TCGA.2J.AABA.01"	0.00896166691780142	8.32735153044532e-15	0.0940308444616784	0.07803515342598	0.0685567024603986
"TCGA.2J.AABE.01"	1.49251706826797e-14	0.119325341555456	0.00682599885122155	0.146776457493828	1.49251706826797e-14
"TCGA.2J.AABO.01"	1.36011356756197e-14	0.0379125663455261	0.00846552977179354	0.144508509764879	0.159870231148549
"TCGA.2J.AABP.01"	0.267521499655416	7.02574446102077e-15	0.233610159129731	0.0685100676955724	0.0202533640366561
"TCGA.2J.AABT.01"	0.0809091689756944	0.0974073869802888	0.110706301424373	0.093046731803596	0.119608955310187
"TCGA.2J.AABU.01"	0.134952623213637	0.00931607335250443	1.11845767088534e-14	0.0678799542727827	0.116104080975075
"TCGA.3A.A9I7.01"	0.0435593186353363	0.118429145284945	0.00464367500024163	0.18166168980445	0.0630684836659859
"TCGA.3A.A9IB.01"	9.14506394991833e-15	0.00455366706825806	0.0305757153234501	0.105077930612197	0.0556941750736831
"TCGA.3A.A9IC.01"	0.0560623385187889	1.41676087055619e-14	0.124089921459987	0.0629831997581917	0.0674099428343391
"TCGA.3A.A9IN.01"	0.0148983070234238	8.30858964879462e-09	0.0494859163527689	0.188209605613208	0.248503252670297
"TCGA.3A.A9IV.01"	0.0264077893491763	5.98505272732576e-15	5.98505272732576e-15	0.0293863013741885	0.215293135061115
"TCGA.3A.A9IX.01"	0.123640528062955	0.163183131886149	0.1136923201457	0.0927677559592216	0.0831432525200593
"TCGA.3A.A9J0.01"	1.56587834380082e-14	1.56587834380082e-14	0.0357174698685166	0.0677280613229666	0.0108696345593775
"TCGA.3E.AAAZ.01"	1.20953840132333e-14	0.146397051602191	1.20953840132333e-14	0.125846568193721	0.0802151507308227
"TCGA.F2.7273.01"	0.0775301310405565	0.233934723794544	0.219814262475093	0.0411049996444707	0.0296940505387349
"TCGA.F2.7276.01"	0.103247268934877	0.173553486043772	0.188825844974555	0.0551734913732117	0.0652047132955738
"TCGA.F2.A44G.01"	0.00450082512615711	1.43427867449004e-14	1.43427867449004e-14	0.0992922833802869	0.0190305166534912
"TCGA.F2.A44H.01"	1.25295050682578e-14	0.174311285002352	1.25295050682578e-14	0.145113911009112	0.0118342254747966
"TCGA.FB.A4P5.01"	0.192937324340432	0.130314179914207	0.176008408177454	0.206837340822265	0.0781744648658306
"TCGA.FB.A545.01"	1.0519656509935e-14	0.0708825660412667	1.0519656509935e-14	0.121251676778352	0.0407390537021028
"TCGA.FB.A7DR.01"	0.106431844173027	0.0587878814600033	0.108527239103864	0.065253319163319	0.149236492393937
"TCGA.FB.AAPS.01"	0.112085757942139	0.00866551144473367	0.408241287507623	0.239487134281057	1.24550225970713e-14
"TCGA.H6.8124.01"	1.24680109171696e-14	0.0284679011049027	0.0012290163037553	0.0351858912879824	0.0462889267630154
"TCGA.H6.A45N.01"	0.0973461620433847	0.204475379972654	0.06837355836683	0.207861411412623	0.144895510063169
"TCGA.HV.A5A4.01"	0.102745687280616	1.39279167320851e-14	0.00186694355058214	0.178181008989262	0.131929598719046
"TCGA.HV.AA8V.01"	0.0383549163794124	0.0308971809348234	0.185130555264852	0.05203629397082	0.101044824892902
"TCGA.HZ.7918.01"	0.470392784307833	0.0501054442161472	8.7693685306259e-15	0.018201134046782	0.0958772467493592
"TCGA.HZ.7920.01"	0.146788316833506	0.0922258606388718	0.172060811217007	0.00875811734526327	0.153014073133493
"TCGA.HZ.7922.01"	1.87944888065167e-12	0.0445185639360168	0.0427117148400059	0.0328483566481109	0.0399252717529275
"TCGA.HZ.7923.01"	0.155249483690735	0.17144857602081	0.295017328396638	0.0189349165396806	0.0759599787700138
"TCGA.HZ.7925.01"	1.32268135897826e-14	1.32268135897826e-14	0.344033795425128	1.32268135897826e-14	0.0409992521230905
"TCGA.HZ.8001.01"	0.130968990855637	0.252782868456765	0.220234088977369	0.0166970080205651	0.0685454468920266
"TCGA.HZ.8002.01"	0.0949497940414711	0.265271508984924	0.15830107147753	0.0478563286358393	1.87130483060903e-06
"TCGA.HZ.8003.01"	0.0975397428733927	0.0630762663102398	1.29546079717262e-14	0.0525254538667516	0.0343252780744605
"TCGA.HZ.8005.01"	0.18089611105124	9.89704998612446e-15	0.0481749352859871	9.89704998612446e-15	0.0473029448076241
"TCGA.HZ.8315.01"	0.148233310180376	0.0714582704077242	1.7297294166513e-14	0.0698178196651258	0.0871204700657646
"TCGA.HZ.8519.01"	0.0756865881243187	0.033308961764827	0.182012315567783	0.151023069479295	0.263631078512144
"TCGA.HZ.8636.01"	0.00131254041406545	0.168310897232446	0.0159497278676139	0.0209470066018509	0.0322367912963096
"TCGA.HZ.8637.01"	0.448303810923335	0.0434658140507805	2.82118850495855e-11	0.0490692983085259	0.0716336031007115
"TCGA.HZ.A49G.01"	0.0572223125416722	0.15771740998084	0.0394739274732327	0.110000361970176	0.052060539281638
"TCGA.HZ.A49H.01"	0.130252725812204	0.14514106613925	0.233548644826436	0.208610395284863	0.151938696218023
"TCGA.HZ.A77P.01"	0.0727355671032376	0.261453964159035	0.129488731430565	0.0970286361602349	0.183903999887134
