"ID"	"CE1"	"CE2"	"CE3"	"CE4"	"CE5"	"CE6"	"CE7"	"CE8"	"CE9"	"CE10"
"TCGA.2J.AAB6.01"	0.116799284018983	0.54315097297327	0.0508223789031134	0.0758108662590076	0.0931729523007708	0.00648157699252694	0.0219810937367004	0.0514583931462293	0.0373010481184469	0.00302143355095164
"TCGA.2J.AAB8.01"	0.175714535251696	0.149971856318043	0.0785670284320152	0.0859330444198445	0.0708875100217048	0.0184238668950312	0.142917183666677	0.250344280311331	0.0241447723593019	0.00309592232435508
"TCGA.2J.AAB9.01"	0.0514322029691444	0.225183947605465	0.024031481210115	0.238631598521985	0.184020464019822	0.0743603430537228	0.0456250950423816	0.146527802661319	0.00570544826410193	0.00448161665194223
"TCGA.2J.AABA.01"	0.14654399710582	0.125471878485366	0.00520933157115727	0.154329876036926	0.0533593464082943	0.0853864951557641	0.143208083733982	0.22760506585107	0.014521325878104	0.044364599773516
"TCGA.2J.AABE.01"	0.140748675920188	0.173276143382272	0.259255236359177	0.0853898466786802	0.0495680584246103	0.0209060513015064	0.0539404916934005	0.2085514782638	0.00600775638835288	0.00235626158801262
"TCGA.2J.AABO.01"	0.0757147963858393	0.206948744658014	1.38354942916836e-14	0.151893165343007	0.186933559141962	0.0682509939082704	0.105231093123288	0.188876974282713	0.00329543856848402	0.0128552345884088
"TCGA.2J.AABP.01"	0.233176673226227	0.150865560545718	0.106105298926389	0.0761094683570451	0.0666133439396244	0.0292814071166585	0.0273261843042915	0.0542469134540166	0.229521707676715	0.0267534424533161
"TCGA.2J.AABT.01"	0.0926664273728916	0.0281161683498609	0.109805254348475	0.116223257792154	0.111806984066367	0.325074565953314	0.0477341541918207	0.0863516243892283	0.0414549864804109	0.0407665770554782
"TCGA.2J.AABU.01"	0.12890032470647	0.394607033141626	1.78326221226651e-07	0.102151120038961	0.0897511885976839	0.0797199161242893	0.0783905699427278	0.0751428956459325	0.0377597358646209	0.0135770376114667
"TCGA.3A.A9I7.01"	0.0810775490179942	0.141699930403049	0.000355337064249662	0.209293505461754	0.095265150848824	0.0551949394808822	0.0480158440100302	0.163499407688874	0.0502854497929916	0.155312886231351
"TCGA.3A.A9IB.01"	0.165359843560791	0.27522374694103	0.0711046978781571	0.237369769226299	0.0364248433776313	0.0617085252231975	0.107999629076687	0.0270939378469234	0.0177150068692656	1.80107381994552e-14
"TCGA.3A.A9IC.01"	0.421322084582976	0.190827501828332	0.0497623963670169	0.097942371189003	0.0495281809400663	0.0693889785203218	0.031101299556227	0.0759718365103133	0.0140227932436938	0.000132557262050474
"TCGA.3A.A9IN.01"	0.00680301447944847	0.0227388268968357	0.0285417924727715	0.139068211199485	0.317878886692807	0.144633271852161	0.0221075810081816	0.316180289267278	0.00204812613102523	6.99526405903501e-15
"TCGA.3A.A9IV.01"	0.00487795173496987	0.0135716207898563	6.57027752799827e-15	0.116034014634559	0.307743932024173	0.00910984194599352	0.163220712692386	0.380167284320107	0.00522587650577233	4.87653521760557e-05
"TCGA.3A.A9IX.01"	0.041332253651695	0.0654438238298923	0.0358999919008997	0.120191981854724	0.0945342690369919	0.179583257687546	0.0428680917143521	0.111929188117851	0.0656550775138052	0.242562064692243
"TCGA.3A.A9J0.01"	0.0925981790926111	0.359475546686158	0.0540268060054391	0.094889230097167	0.0396014334613258	0.046798155973524	0.159401046360484	0.116325158077946	0.000398881633014193	0.0364855626123315
"TCGA.3E.AAAZ.01"	0.0326332601538502	0.109713547540522	1.48111441526995e-14	0.161578658128875	0.130815602470458	0.275348853386459	0.112910473740277	0.175299055718795	7.38444314070853e-13	0.00170054886001158
"TCGA.F2.7273.01"	0.107240859275864	0.0135616459568538	0.140889131023313	0.108550782072144	0.0955865515421049	0.243560913864032	0.0674818134240722	0.0720256845349087	0.0768629447320627	0.074239673574645
"TCGA.F2.7276.01"	0.0802940809449403	0.0867231895602199	0.0900597643088625	0.0838332621121918	0.0790144213933905	0.168736947659323	0.119737556839814	0.0827353155417267	0.0653756309676529	0.143489830671879
"TCGA.F2.A44G.01"	0.0768707217882813	0.400087907971198	0.104510262088547	0.0927404067115753	0.0290818069993096	0.000421942077048113	0.129611821851001	0.128589863020191	0.0330053303486762	0.00507993714417209
"TCGA.F2.A44H.01"	0.154288439045159	0.0365699735634127	0.277649566108981	0.188403234028974	0.11335077428182	0.0479306904610533	0.00553765439605727	0.133137964633051	0.0338328970650212	0.00929880641647102
"TCGA.FB.A4P5.01"	0.0578391405896476	0.0688581312186117	0.0459378932015435	0.0906970745573046	0.084052698249641	0.134195438533538	0.0279320622486819	0.0888150885079492	0.135604293254467	0.266068179638615
"TCGA.FB.A545.01"	0.109080911410776	0.32552280016503	0.00151980885297119	0.0950132609600294	0.0666265203684631	0.0210267924727972	0.16356749408639	0.215519258752905	0.0021231529306196	1.78745373650263e-14
"TCGA.FB.A7DR.01"	0.115987885423532	0.121865915085555	0.00608925614721953	0.142749799305269	0.108623671579732	0.286294872872328	0.0594304032817092	0.0822288505213088	0.0760013074333119	0.000728038350035905
"TCGA.FB.AAPS.01"	0.349729723346829	0.0292842795196464	0.0625188255687366	0.0918717316520075	0.0370144674710213	0.111984234416367	1.18969423179965e-14	0.0524477650133266	0.0855352507924519	0.179613722219602
"TCGA.H6.8124.01"	0.120919317877074	0.315746949634284	1.52303520929887e-14	0.0643710737805133	0.0371974888891162	0.0055035314416294	0.285488925692149	0.170681134441365	9.15782438387654e-05	1.60665247452557e-14
