"ID"	"S01"	"S02"	"S03"	"S04"	"S05"	"S06"	"S07"
"TCGA.2J.AAB1.01"	0.154917649533455	0.301791050594552	0.0634187259199311	0.0912547449645115	1.45148051500301e-14	0.0289356290835226	1.45148051500301e-14
"TCGA.2J.AAB4.01"	0.163017302055013	0.114665920328316	0.0130070237776931	1.17909543559348e-14	0.324964434361442	1.17909543559348e-14	1.17909543559348e-14
"TCGA.2J.AABF.01"	0.242510119301257	0.203742681637936	0.0666830981831335	1.14198986344942e-14	0.162999290714896	0.129758403468638	1.14198986344942e-14
"TCGA.2J.AABH.01"	0.00696235717154614	1.83567270549339e-14	3.85608031228789e-05	1.83567270549339e-14	1.83567270549339e-14	0.0283887241997534	1.83567270549339e-14
"TCGA.2J.AABI.01"	0.0177346470137701	0.021033177061219	1.9074384214853e-15	0.0247771421904802	1.9074384214853e-15	0.000103264405194627	1.9074384214853e-15
"TCGA.2J.AABK.01"	0.0134467903961791	0.121164596973637	0.0259222396142799	1.70645874472323e-14	0.375885428680416	0.102259889261086	1.70645874472323e-14
"TCGA.2J.AABR.01"	0.195028241116543	0.349868736570258	0.0924245434527181	0.0583063508378609	0.163808514782055	0.0290597997658315	9.41389302708598e-15
"TCGA.2J.AABV.01"	7.37311580471245e-15	7.37311580471245e-15	7.37311580471245e-15	7.37311580471245e-15	7.37311580471245e-15	7.37311580471245e-15	7.37311580471245e-15
"TCGA.2L.AAQA.01"	7.39721428458404e-15	7.39721428458404e-15	7.39721428458404e-15	0.00839180554860556	7.39721428458404e-15	0.0190698296348605	7.39721428458404e-15
"TCGA.2L.AAQE.01"	0.0154979908654899	0.23388817924763	0.0790157783420751	2.28707173122638e-11	1.06652829620372e-14	0.0287879445203349	1.06652829620372e-14
"TCGA.2L.AAQI.01"	0.00115393518575086	1.80809556436762e-14	0.108623566495826	0.237589394472825	0.224606636656797	0.172257891254223	1.80809556436762e-14
"TCGA.2L.AAQJ.01"	0.0528267312259436	0.199490583974581	0.219674309522923	0.056671937226269	0.100490980108552	0.058005359872787	1.89941874756844e-14
"TCGA.2L.AAQL.01"	0.079820044010566	0.00767829047101175	0.0488595522875737	1.60092704970686e-14	1.60092704970686e-14	1.60092704970686e-14	1.60092704970686e-14
"TCGA.2L.AAQM.01"	0.0047974483942422	4.96830090342887e-15	0.0420037601765677	1.95901641727991e-06	0.0806958246700962	0.0366648440778147	4.96830090342887e-15
"TCGA.3A.A9I5.01"	0.0265419872335554	0.0167926117143008	0.159946092898607	7.49311837879283e-15	0.345108940082369	7.49311837879283e-15	0.0385515168273074
"TCGA.3A.A9I9.01"	0.110026119081438	2.89632026730579e-14	0.0416708251994666	2.89632026730579e-14	2.89632026730579e-14	0.0195556214479839	2.89632026730579e-14
"TCGA.3A.A9IH.01"	2.00873115861137e-14	0.0243692454371996	0.00782867850496458	2.00873115861137e-14	0.0638345042164493	2.00873115861137e-14	2.00873115861137e-14
"TCGA.3A.A9IJ.01"	6.52629222859346e-15	6.52629222859346e-15	0.00844181419643803	6.52629222859346e-15	0.299611470177884	0.0235778035348589	0.062540710682347
"TCGA.3A.A9IL.01"	6.44660384048743e-15	0.00417195041174256	6.44660384048743e-15	6.44660384048743e-15	0.295629341875834	0.0590948953415655	0.360027875127842
"TCGA.3A.A9IO.01"	6.9550932418875e-15	6.9550932418875e-15	6.9550932418875e-15	6.9550932418875e-15	0.26356272011858	0.0108512149855623	0.32061528844446
"TCGA.3A.A9IR.01"	3.53103601283834e-15	0.000939528690427182	3.53103601283834e-15	3.53103601283834e-15	3.53103601283834e-15	0.0183990866835996	0.836393572598298
"TCGA.3A.A9IS.01"	3.80226068723422e-15	3.80226068723422e-15	0.0205963881378708	3.80226068723422e-15	0.163304660623753	3.80226068723422e-15	0.398872257188162
"TCGA.3A.A9IU.01"	1.8250166173359e-14	1.8250166173359e-14	1.8250166173359e-14	1.8250166173359e-14	1.8250166173359e-14	0.0345530365348887	1.8250166173359e-14
"TCGA.3A.A9IZ.01"	1.10960045657065e-14	1.10960045657065e-14	1.10960045657065e-14	0.177782596588429	1.10960045657065e-14	0.190133814079756	0.000112478507949421
"TCGA.3E.AAAY.01"	0.307304586132681	0.271656380194396	0.0799012518682232	1.59726317295525e-14	1.59726317295525e-14	0.0683046954139672	0.0272020921602436
"TCGA.F2.6879.01"	0.00706644337422914	0.0113062336084374	4.60213619416202e-15	4.60213619416202e-15	4.60213619416202e-15	0.0134582106299468	4.60213619416202e-15
"TCGA.F2.6880.01"	6.82729679789251e-15	6.82729679789251e-15	6.82729679789251e-15	6.82729679789251e-15	0.0193329306541825	6.82729679789251e-15	6.82729679789251e-15
"TCGA.F2.A7TX.01"	0.304021161417666	0.179389708667549	1.24680000729102e-14	1.24680000729102e-14	0.0162214516557964	0.178356011358361	1.24680000729102e-14
"TCGA.F2.A8YN.01"	1.63316459373603e-14	0.00525204199221772	0.228314687918799	1.63316459373603e-14	1.63316459373603e-14	1.63316459373603e-14	0.110772576882743
"TCGA.FB.A4P6.01"	0.113023064433821	0.204611073633436	0.0840476690788634	0.0255007506524177	0.114458658961773	0.0477984053959836	0.264073887760804
"TCGA.FB.A5VM.01"	0.0417520106399901	0.0207749108018783	2.3938792892199e-15	2.3938792892199e-15	2.3938792892199e-15	2.3938792892199e-15	2.3938792892199e-15
"TCGA.FB.A78T.01"	0.147907841320391	0.0358703442323295	0.00406188757666954	2.26654844170922e-14	0.157730642345514	0.0265806326276575	2.26654844170922e-14
