"ID"	"S01"	"S02"	"S03"	"S04"	"S05"	"S06"
"TCGA.2J.AAB1.01"	0.062739624862496	0.0400699505675002	7.69914236058947e-15	7.69914236058947e-15	7.69914236058947e-15	0.0725034893497839
"TCGA.2J.AAB4.01"	7.50112630253869e-15	0.15546298552888	7.50112630253869e-15	7.50112630253869e-15	0.10047706578434	7.50112630253869e-15
"TCGA.2J.AABF.01"	0.107526239092177	0.168844528554165	1.53086877445611e-14	0.173412710107554	0.109902505573106	0.00275374694793934
"TCGA.2J.AABH.01"	1.17826903199647e-14	0.136107979805234	1.17826903199647e-14	0.0477392410997653	0.0731400322835772	1.17826903199647e-14
"TCGA.2J.AABI.01"	0.190652513566927	9.98658137286223e-15	9.98658137286223e-15	9.98658137286223e-15	9.98658137286223e-15	9.98658137286223e-15
"TCGA.2J.AABK.01"	0.0424604207191578	0.0797343909885608	0.052460846394662	0.102128117925555	0.157794397470837	3.27450338537301e-13
"TCGA.2J.AABR.01"	0.147235319599161	0.111994365645189	1.12930939099357e-14	0.0407765221536313	0.110715942010021	0.0921577393036006
"TCGA.2J.AABV.01"	2.92917514543438e-15	1.62278921415189e-08	2.92917514543438e-15	0.048977744987247	0.0239486771800689	2.92917514543438e-15
"TCGA.2L.AAQA.01"	1.69683099106917e-14	0.0325174749001845	1.69683099106917e-14	1.69683099106917e-14	1.69683099106917e-14	0.0089801868667852
"TCGA.2L.AAQE.01"	0.178154016571963	1.88096446141523e-14	1.88096446141523e-14	1.88096446141523e-14	1.88096446141523e-14	1.88096446141523e-14
"TCGA.2L.AAQI.01"	1.50117260473502e-14	0.0372439485320588	1.50117260473502e-14	0.0868220727194027	0.160253334749454	0.135203563993508
"TCGA.2L.AAQJ.01"	0.251734026616877	1.05672231785337e-14	1.05672231785337e-14	1.05672231785337e-14	1.05672231785337e-14	0.24558116277304
"TCGA.2L.AAQL.01"	0.0585191942544252	0.036720971686254	1.05088853171293e-14	0.0615374531562927	0.0861917298743562	0.0346246315559236
"TCGA.2L.AAQM.01"	6.20897925465251e-15	6.20897925465251e-15	0.451154529457089	6.20897925465251e-15	6.20897925465251e-15	6.20897925465251e-15
"TCGA.3A.A9I5.01"	0.244377562454186	1.65566429526128e-14	0.00415186214893176	0.0174862875638347	1.65566429526128e-14	1.65566429526128e-14
"TCGA.3A.A9I9.01"	1.35110171981647e-14	0.0117154600008771	1.35110171981647e-14	0.122791937587939	0.125531262119159	0.0275185275187238
"TCGA.3A.A9IH.01"	0.0107053050676483	0.0118722376135395	0.0121493901481312	1.60589427912533e-14	0.0741456535832487	0.0709211104988838
"TCGA.3A.A9IJ.01"	2.64899656413914e-15	0.0341614475359069	0.147918356369048	2.64899656413914e-15	0.00275757585666968	2.64899656413914e-15
"TCGA.3A.A9IL.01"	8.71690008874457e-15	0.0100977626147243	0.235653204533053	8.71690008874457e-15	0.124630531207833	0.0883931200013257
"TCGA.3A.A9IO.01"	4.87196601089208e-15	0.0376109917874825	0.212662856794131	0.0133408414168539	0.0633670389283172	0.185145597479532
"TCGA.3A.A9IR.01"	5.12538003442318e-15	0.00319759236095947	5.12538003442318e-15	5.12538003442318e-15	0.00190317720593477	0.154149453158755
"TCGA.3A.A9IS.01"	5.24584330072573e-15	0.073342428063367	0.236197189823521	5.24584330072573e-15	5.24584330072573e-15	0.183867441735591
"TCGA.3A.A9IU.01"	0.127760546332954	2.15411426250998e-14	2.15411426250998e-14	0.0991932656894872	2.15411426250998e-14	0.0690881768323395
"TCGA.3A.A9IZ.01"	1.19023927737546e-14	0.0693796429206311	1.19023927737546e-14	0.0349415744772702	1.19023927737546e-14	0.0211859291538515
"TCGA.3E.AAAY.01"	0.110627746010272	0.154281077549089	0.00993754556127764	0.0521469072785193	0.188319743041067	0.140378040777717
"TCGA.F2.6879.01"	1.14135539709516e-14	0.0365383751427041	1.14135539709516e-14	0.130677260067572	0.0229073429181697	0.378130350729145
"TCGA.F2.6880.01"	1.35665378866513e-15	0.00974986206692341	1.35665378866513e-15	0.0114709268281284	0.0123455267662729	1.35665378866513e-15
"TCGA.F2.A7TX.01"	0.122593956463292	0.182114117159157	0.00820612030085372	0.0781442305572319	0.0876057964991751	0.265134092722745
"TCGA.F2.A8YN.01"	1.43153460786485e-14	0.195322885735605	1.43153460786485e-14	0.0552843197336767	1.43153460786485e-14	0.305039323442876
"TCGA.FB.A4P6.01"	0.0684531722822338	0.0997761462429257	0.015202759950907	0.0565030902496855	0.073558156175783	0.0809354816571552
"TCGA.FB.A5VM.01"	0.19847860542244	7.07795621935747e-06	1.20592052634192e-14	1.20592052634192e-14	1.20592052634192e-14	1.20592052634192e-14
"TCGA.FB.A78T.01"	7.27137690328864e-15	0.046101212036458	7.27137690328864e-15	0.0378222234332451	0.0480593718108574	1.3707568793378e-09
"TCGA.FB.AAPP.01"	8.23373504043697e-15	0.0860939409574632	8.23373504043697e-15	0.152899639711322	8.23373504043697e-15	0.316873284412096
"TCGA.FB.AAPQ.01"	0.0155193761272392	0.104975323028057	1.39440452510778e-14	0.0899505735732921	0.0556226214353673	0.51272157102012
"TCGA.FB.AAPU.01"	0.00505738625396634	0.113902472539066	1.21852748048759e-14	0.331691739775104	0.0413597540746452	0.321460345871349
"TCGA.FB.AAPY.01"	0.176784469891506	0.17320747503327	9.04174863792493e-15	0.178714230870762	0.0312222259596223	9.04174863792493e-15
"TCGA.FB.AAPZ.01"	0.0751338869778595	0.122588878598605	2.15225616927054e-14	0.124011804788031	0.0652378833755082	2.15225616927054e-14
