Ligand,Ligand.CellType,Ligand.State,Ligand.CE,Receptor,Receptor.CellType,Receptor.State,Receptor.CE,Validating
ADAM12,Fibroblasts,S03,CE1,ITGA9,Epithelial cells,S03,CE1,TRUE
ADAM12,Fibroblasts,S03,CE1,ITGB1,Epithelial cells,S03,CE1,TRUE
ADAM12,Fibroblasts,S03,CE1,SDC4,Epithelial cells,S03,CE1,TRUE
APOD,Fibroblasts,S03,CE1,LEPR,Epithelial cells,S03,CE1,TRUE
BDNF,Fibroblasts,S03,CE1,NGFR,Epithelial cells,S03,CE1,TRUE
BDNF,Fibroblasts,S03,CE1,SORT1,Epithelial cells,S03,CE1,TRUE
BGN,Fibroblasts,S03,CE1,TLR1,Epithelial cells,S03,CE1,TRUE
BGN,Fibroblasts,S03,CE1,TLR2,Epithelial cells,S03,CE1,TRUE
C3,Fibroblasts,S03,CE1,CD81,Epithelial cells,S03,CE1,TRUE
C3,Fibroblasts,S03,CE1,LRP1,Epithelial cells,S03,CE1,TRUE
CD14,Fibroblasts,S03,CE1,ITGB1,Epithelial cells,S03,CE1,TRUE
CGB8,Fibroblasts,S03,CE1,SIRPA,Epithelial cells,S03,CE1,TRUE
COL11A1,Fibroblasts,S03,CE1,ITGA2,Epithelial cells,S03,CE1,TRUE
COL11A1,Fibroblasts,S03,CE1,ITGB1,Epithelial cells,S03,CE1,TRUE
COL14A1,Fibroblasts,S03,CE1,CD44,Epithelial cells,S03,CE1,TRUE
COL1A1,Fibroblasts,S03,CE1,CD44,Epithelial cells,S03,CE1,TRUE
COL1A1,Fibroblasts,S03,CE1,FLT4,Epithelial cells,S03,CE1,TRUE
COL1A1,Fibroblasts,S03,CE1,ITGA1,Epithelial cells,S03,CE1,TRUE
COL1A1,Fibroblasts,S03,CE1,ITGA2,Epithelial cells,S03,CE1,TRUE
COL1A1,Fibroblasts,S03,CE1,ITGA5,Epithelial cells,S03,CE1,TRUE
COL1A1,Fibroblasts,S03,CE1,ITGAV,Epithelial cells,S03,CE1,TRUE
COL1A1,Fibroblasts,S03,CE1,ITGB1,Epithelial cells,S03,CE1,TRUE
COL1A2,Fibroblasts,S03,CE1,CD44,Epithelial cells,S03,CE1,TRUE
COL1A2,Fibroblasts,S03,CE1,FLT4,Epithelial cells,S03,CE1,TRUE
COL1A2,Fibroblasts,S03,CE1,ITGA1,Epithelial cells,S03,CE1,TRUE
COL1A2,Fibroblasts,S03,CE1,ITGA2,Epithelial cells,S03,CE1,TRUE
COL1A2,Fibroblasts,S03,CE1,ITGAV,Epithelial cells,S03,CE1,TRUE
COL1A2,Fibroblasts,S03,CE1,ITGB1,Epithelial cells,S03,CE1,TRUE
COL1A2,Fibroblasts,S03,CE1,ITGB3,Epithelial cells,S03,CE1,TRUE
COL3A1,Fibroblasts,S03,CE1,ITGA2,Epithelial cells,S03,CE1,TRUE
COL3A1,Fibroblasts,S03,CE1,ITGB1,Epithelial cells,S03,CE1,TRUE
COL5A1,Fibroblasts,S03,CE1,ITGA1,Epithelial cells,S03,CE1,TRUE
COL5A1,Fibroblasts,S03,CE1,ITGB1,Epithelial cells,S03,CE1,TRUE
COL5A1,Fibroblasts,S03,CE1,SDC3,Epithelial cells,S03,CE1,TRUE
COL5A2,Fibroblasts,S03,CE1,ITGA1,Epithelial cells,S03,CE1,TRUE
COL5A2,Fibroblasts,S03,CE1,ITGB1,Epithelial cells,S03,CE1,TRUE
COL5A3,Fibroblasts,S03,CE1,SDC3,Epithelial cells,S03,CE1,TRUE
COL6A1,Fibroblasts,S03,CE1,ITGA1,Epithelial cells,S03,CE1,TRUE
COL6A1,Fibroblasts,S03,CE1,ITGA2,Epithelial cells,S03,CE1,TRUE
COL6A1,Fibroblasts,S03,CE1,ITGA6,Epithelial cells,S03,CE1,TRUE
COL6A1,Fibroblasts,S03,CE1,ITGB1,Epithelial cells,S03,CE1,TRUE
COL6A2,Fibroblasts,S03,CE1,ITGA1,Epithelial cells,S03,CE1,TRUE
COL6A2,Fibroblasts,S03,CE1,ITGA2,Epithelial cells,S03,CE1,TRUE
COL6A2,Fibroblasts,S03,CE1,ITGB1,Epithelial cells,S03,CE1,TRUE
COL6A3,Fibroblasts,S03,CE1,ITGA1,Epithelial cells,S03,CE1,TRUE
COL6A3,Fibroblasts,S03,CE1,ITGA2,Epithelial cells,S03,CE1,TRUE
COL6A3,Fibroblasts,S03,CE1,ITGB1,Epithelial cells,S03,CE1,TRUE
