Ligand,Ligand.CellType,Ligand.State,Ligand.CE,Receptor,Receptor.CellType,Receptor.State,Receptor.CE,Validating
CTGF,Fibroblasts,S03,CE1,ITGA5,Epithelial cells,S03,CE1,TRUE
CTGF,Fibroblasts,S03,CE1,LRP1,Epithelial cells,S03,CE1,TRUE
CTHRC1,Fibroblasts,S03,CE1,FZD6,Epithelial cells,S03,CE1,TRUE
DCN,Fibroblasts,S03,CE1,EGFR,Epithelial cells,S03,CE1,TRUE
DCN,Fibroblasts,S03,CE1,MET,Epithelial cells,S03,CE1,TRUE
EFEMP1,Fibroblasts,S03,CE1,EGFR,Epithelial cells,S03,CE1,TRUE
F13A1,Fibroblasts,S03,CE1,ITGA9,Epithelial cells,S03,CE1,TRUE
F13A1,Fibroblasts,S03,CE1,ITGB1,Epithelial cells,S03,CE1,TRUE
FAT4,Fibroblasts,S03,CE1,DCHS1,Epithelial cells,S03,CE1,TRUE
FBN1,Fibroblasts,S03,CE1,ITGA5,Epithelial cells,S03,CE1,TRUE
FBN1,Fibroblasts,S03,CE1,ITGAV,Epithelial cells,S03,CE1,TRUE
FBN1,Fibroblasts,S03,CE1,ITGB1,Epithelial cells,S03,CE1,TRUE
FBN1,Fibroblasts,S03,CE1,ITGB3,Epithelial cells,S03,CE1,TRUE
FBN1,Fibroblasts,S03,CE1,ITGB6,Epithelial cells,S03,CE1,TRUE
FGF16,Fibroblasts,S03,CE1,FGFR1,Epithelial cells,S03,CE1,TRUE
FGF5,Fibroblasts,S03,CE1,FGFR1,Epithelial cells,S03,CE1,TRUE
FGF7,Fibroblasts,S03,CE1,FGFR1,Epithelial cells,S03,CE1,TRUE
FGF7,Fibroblasts,S03,CE1,NRP1,Epithelial cells,S03,CE1,TRUE
GREM1,Fibroblasts,S03,CE1,KDR,Epithelial cells,S03,CE1,TRUE
HGF,Fibroblasts,S03,CE1,CD44,Epithelial cells,S03,CE1,TRUE
HGF,Fibroblasts,S03,CE1,MET,Epithelial cells,S03,CE1,TRUE
HGF,Fibroblasts,S03,CE1,SDC1,Epithelial cells,S03,CE1,TRUE
HGF,Fibroblasts,S03,CE1,SDC2,Epithelial cells,S03,CE1,TRUE
IBSP,Fibroblasts,S03,CE1,ITGAV,Epithelial cells,S03,CE1,TRUE
IL10,Fibroblasts,S03,CE1,IL10RB,Epithelial cells,S03,CE1,TRUE
IL11,Fibroblasts,S03,CE1,IL6ST,Epithelial cells,S03,CE1,TRUE
INHBA,Fibroblasts,S03,CE1,ACVR1,Epithelial cells,S03,CE1,TRUE
INHBA,Fibroblasts,S03,CE1,ACVR2A,Epithelial cells,S03,CE1,TRUE
INHBA,Fibroblasts,S03,CE1,ENG,Epithelial cells,S03,CE1,TRUE
LAMA2,Fibroblasts,S03,CE1,ITGA1,Epithelial cells,S03,CE1,TRUE
LAMA2,Fibroblasts,S03,CE1,ITGA2,Epithelial cells,S03,CE1,TRUE
LAMA2,Fibroblasts,S03,CE1,ITGA3,Epithelial cells,S03,CE1,TRUE
LAMA2,Fibroblasts,S03,CE1,ITGA6,Epithelial cells,S03,CE1,TRUE
LAMA2,Fibroblasts,S03,CE1,ITGB1,Epithelial cells,S03,CE1,TRUE
LAMA2,Fibroblasts,S03,CE1,ITGB4,Epithelial cells,S03,CE1,TRUE
LAMC3,Fibroblasts,S03,CE1,ITGA2,Epithelial cells,S03,CE1,TRUE
LAMC3,Fibroblasts,S03,CE1,ITGA3,Epithelial cells,S03,CE1,TRUE
LAMC3,Fibroblasts,S03,CE1,ITGA6,Epithelial cells,S03,CE1,TRUE
LAMC3,Fibroblasts,S03,CE1,ITGB1,Epithelial cells,S03,CE1,TRUE
LAMC3,Fibroblasts,S03,CE1,ITGB4,Epithelial cells,S03,CE1,TRUE
MFGE8,Fibroblasts,S03,CE1,ITGAV,Epithelial cells,S03,CE1,TRUE
MFGE8,Fibroblasts,S03,CE1,ITGB3,Epithelial cells,S03,CE1,TRUE
MMP13,Fibroblasts,S03,CE1,LRP1,Epithelial cells,S03,CE1,TRUE
MMP1,Fibroblasts,S03,CE1,CD44,Epithelial cells,S03,CE1,TRUE
MMP1,Fibroblasts,S03,CE1,ITGA2,Epithelial cells,S03,CE1,TRUE
MMP2,Fibroblasts,S03,CE1,SDC2,Epithelial cells,S03,CE1,TRUE
MMP9,Fibroblasts,S03,CE1,CD44,Epithelial cells,S03,CE1,TRUE
MMP9,Fibroblasts,S03,CE1,EPHB2,Epithelial cells,S03,CE1,TRUE
MMP9,Fibroblasts,S03,CE1,LRP1,Epithelial cells,S03,CE1,TRUE
OXT,Fibroblasts,S03,CE1,OXTR,Epithelial cells,S03,CE1,TRUE
PLAT,Fibroblasts,S03,CE1,LRP1,Epithelial cells,S03,CE1,TRUE
PSEN1,Fibroblasts,S03,CE1,CD44,Epithelial cells,S03,CE1,TRUE
PSEN1,Fibroblasts,S03,CE1,NOTCH2,Epithelial cells,S03,CE1,TRUE
PSEN1,Fibroblasts,S03,CE1,NOTCH3,Epithelial cells,S03,CE1,TRUE
RSPO1,Fibroblasts,S03,CE1,FZD8,Epithelial cells,S03,CE1,TRUE
RSPO1,Fibroblasts,S03,CE1,LGR5,Epithelial cells,S03,CE1,TRUE
SELPLG,Fibroblasts,S03,CE1,ESAM,Epithelial cells,S03,CE1,TRUE
SEMA4C,Fibroblasts,S03,CE1,PLXNB2,Epithelial cells,S03,CE1,TRUE
SERPINE1,Fibroblasts,S03,CE1,ITGAV,Epithelial cells,S03,CE1,TRUE
SERPINE1,Fibroblasts,S03,CE1,ITGB5,Epithelial cells,S03,CE1,TRUE
SERPINE1,Fibroblasts,S03,CE1,LRP1,Epithelial cells,S03,CE1,TRUE
SERPINE1,Fibroblasts,S03,CE1,PLAUR,Epithelial cells,S03,CE1,TRUE
SERPING1,Fibroblasts,S03,CE1,LRP1,Epithelial cells,S03,CE1,TRUE
SLIT2,Fibroblasts,S03,CE1,GPC1,Epithelial cells,S03,CE1,TRUE
SLIT2,Fibroblasts,S03,CE1,ROBO1,Epithelial cells,S03,CE1,TRUE
SLIT2,Fibroblasts,S03,CE1,ROBO2,Epithelial cells,S03,CE1,TRUE
SLIT2,Fibroblasts,S03,CE1,SDC1,Epithelial cells,S03,CE1,TRUE
SLIT3,Fibroblasts,S03,CE1,ROBO2,Epithelial cells,S03,CE1,TRUE
SORBS1,Fibroblasts,S03,CE1,INSR,Epithelial cells,S03,CE1,TRUE
SORBS1,Fibroblasts,S03,CE1,ITGA1,Epithelial cells,S03,CE1,TRUE
SORBS1,Fibroblasts,S03,CE1,ITGB5,Epithelial cells,S03,CE1,TRUE
TGFB2,Fibroblasts,S03,CE1,ACVR1,Epithelial cells,S03,CE1,TRUE
TGFB2,Fibroblasts,S03,CE1,ENG,Epithelial cells,S03,CE1,TRUE
TGFB2,Fibroblasts,S03,CE1,TGFBR1,Epithelial cells,S03,CE1,TRUE
TGFB2,Fibroblasts,S03,CE1,TGFBR2,Epithelial cells,S03,CE1,TRUE
TGFB3,Fibroblasts,S03,CE1,ACVRL1,Epithelial cells,S03,CE1,TRUE
TGFB3,Fibroblasts,S03,CE1,ENG,Epithelial cells,S03,CE1,TRUE
TGFB3,Fibroblasts,S03,CE1,TGFBR1,Epithelial cells,S03,CE1,TRUE
TGFB3,Fibroblasts,S03,CE1,TGFBR2,Epithelial cells,S03,CE1,TRUE
TGM2,Fibroblasts,S03,CE1,ITGA9,Epithelial cells,S03,CE1,TRUE
TGM2,Fibroblasts,S03,CE1,ITGB1,Epithelial cells,S03,CE1,TRUE
TGM2,Fibroblasts,S03,CE1,ITGB3,Epithelial cells,S03,CE1,TRUE
TGM2,Fibroblasts,S03,CE1,SDC4,Epithelial cells,S03,CE1,TRUE
TGM2,Fibroblasts,S03,CE1,TBXA2R,Epithelial cells,S03,CE1,TRUE
THBS2,Fibroblasts,S03,CE1,ITGA6,Epithelial cells,S03,CE1,TRUE
THBS2,Fibroblasts,S03,CE1,ITGB1,Epithelial cells,S03,CE1,TRUE
THBS2,Fibroblasts,S03,CE1,NOTCH3,Epithelial cells,S03,CE1,TRUE
TIMP1,Fibroblasts,S03,CE1,CD63,Epithelial cells,S03,CE1,TRUE
TIMP2,Fibroblasts,S03,CE1,ITGA3,Epithelial cells,S03,CE1,TRUE
TIMP2,Fibroblasts,S03,CE1,ITGB1,Epithelial cells,S03,CE1,TRUE
TIMP3,Fibroblasts,S03,CE1,KDR,Epithelial cells,S03,CE1,TRUE
TNC,Fibroblasts,S03,CE1,CNTN1,Epithelial cells,S03,CE1,TRUE
TNC,Fibroblasts,S03,CE1,EGFR,Epithelial cells,S03,CE1,TRUE
TNC,Fibroblasts,S03,CE1,ITGA2,Epithelial cells,S03,CE1,TRUE
TNC,Fibroblasts,S03,CE1,ITGA5,Epithelial cells,S03,CE1,TRUE
TNC,Fibroblasts,S03,CE1,ITGA9,Epithelial cells,S03,CE1,TRUE
TNC,Fibroblasts,S03,CE1,ITGAV,Epithelial cells,S03,CE1,TRUE
TNC,Fibroblasts,S03,CE1,ITGB1,Epithelial cells,S03,CE1,TRUE
TNC,Fibroblasts,S03,CE1,NT5E,Epithelial cells,S03,CE1,TRUE
TNC,Fibroblasts,S03,CE1,PTPRB,Epithelial cells,S03,CE1,TRUE
TNC,Fibroblasts,S03,CE1,SDC1,Epithelial cells,S03,CE1,TRUE
TNC,Fibroblasts,S03,CE1,SDC4,Epithelial cells,S03,CE1,TRUE
TNFSF11,Fibroblasts,S03,CE1,TNFRSF11B,Epithelial cells,S03,CE1,TRUE
UCN2,Fibroblasts,S03,CE1,IL10RB,Epithelial cells,S03,CE1,TRUE
VCAM1,Fibroblasts,S03,CE1,ITGA9,Epithelial cells,S03,CE1,TRUE
VCAM1,Fibroblasts,S03,CE1,ITGB1,Epithelial cells,S03,CE1,TRUE
VCAN,Fibroblasts,S03,CE1,CD44,Epithelial cells,S03,CE1,TRUE
VCAN,Fibroblasts,S03,CE1,EGFR,Epithelial cells,S03,CE1,TRUE
VCAN,Fibroblasts,S03,CE1,ITGB1,Epithelial cells,S03,CE1,TRUE
VCAN,Fibroblasts,S03,CE1,TLR1,Epithelial cells,S03,CE1,TRUE
VCAN,Fibroblasts,S03,CE1,TLR2,Epithelial cells,S03,CE1,TRUE
WNT2,Fibroblasts,S03,CE1,FZD1,Epithelial cells,S03,CE1,TRUE
WNT2,Fibroblasts,S03,CE1,FZD7,Epithelial cells,S03,CE1,TRUE
WNT2,Fibroblasts,S03,CE1,FZD8,Epithelial cells,S03,CE1,TRUE
