Ligand,Ligand.CellType,Ligand.State,Ligand.CE,Receptor,Receptor.CellType,Receptor.State,Receptor.CE,Validating
A2M,Fibroblasts,S02,CE6,LRP1,Epithelial cells,S02,CE6,TRUE
ADCYAP1,Fibroblasts,S02,CE6,ADCYAP1R1,Epithelial cells,S02,CE6,TRUE
ADCYAP1,Fibroblasts,S02,CE6,SCTR,Epithelial cells,S02,CE6,TRUE
ADCYAP1,Fibroblasts,S02,CE6,VIPR1,Epithelial cells,S02,CE6,TRUE
ADCYAP1,Fibroblasts,S02,CE6,VIPR2,Epithelial cells,S02,CE6,TRUE
AGT,Fibroblasts,S02,CE6,AGTR1,Epithelial cells,S02,CE6,TRUE
AGT,Fibroblasts,S02,CE6,LRP2,Epithelial cells,S02,CE6,TRUE
APOD,Fibroblasts,S02,CE6,LEPR,Epithelial cells,S02,CE6,TRUE
BDNF,Fibroblasts,S02,CE6,NGFR,Epithelial cells,S02,CE6,TRUE
BDNF,Fibroblasts,S02,CE6,NGFRAP1,Epithelial cells,S02,CE6,TRUE
BDNF,Fibroblasts,S02,CE6,NTRK2,Epithelial cells,S02,CE6,TRUE
BDNF,Fibroblasts,S02,CE6,SORT1,Epithelial cells,S02,CE6,TRUE
C3,Fibroblasts,S02,CE6,C5AR2,Epithelial cells,S02,CE6,TRUE
C3,Fibroblasts,S02,CE6,CD81,Epithelial cells,S02,CE6,TRUE
C3,Fibroblasts,S02,CE6,LRP1,Epithelial cells,S02,CE6,TRUE
C4A,Fibroblasts,S02,CE6,C5AR2,Epithelial cells,S02,CE6,TRUE
CNTN2,Fibroblasts,S02,CE6,CNTN1,Epithelial cells,S02,CE6,TRUE
CNTN2,Fibroblasts,S02,CE6,NRP1,Epithelial cells,S02,CE6,TRUE
COL1A2,Fibroblasts,S02,CE6,FLT4,Epithelial cells,S02,CE6,TRUE
COL1A2,Fibroblasts,S02,CE6,ITGA1,Epithelial cells,S02,CE6,TRUE
COL1A2,Fibroblasts,S02,CE6,ITGB1,Epithelial cells,S02,CE6,TRUE
COL1A2,Fibroblasts,S02,CE6,ITGB3,Epithelial cells,S02,CE6,TRUE
COL3A1,Fibroblasts,S02,CE6,ITGB1,Epithelial cells,S02,CE6,TRUE
COL3A1,Fibroblasts,S02,CE6,MAG,Epithelial cells,S02,CE6,TRUE
COL4A6,Fibroblasts,S02,CE6,ITGA1,Epithelial cells,S02,CE6,TRUE
COL4A6,Fibroblasts,S02,CE6,ITGB1,Epithelial cells,S02,CE6,TRUE
