"ID"	"S01"	"S02"	"S03"
"TCGA.2J.AAB1.01"	0.287980072913831	0.12302344052371	0.188259221303658
"TCGA.2J.AAB4.01"	0.0756364972315931	0.151844481658957	8.78172757314781e-12
"TCGA.2J.AABF.01"	1.76137653873456e-11	0.195170720670908	0.222468649373542
"TCGA.2J.AABH.01"	3.38033943946253e-14	0.451957696672492	3.38033943946253e-14
"TCGA.2J.AABI.01"	0.0137337345233252	1.58489560345377e-14	0.178773303022055
"TCGA.2J.AABK.01"	1.67745678505686e-14	1.67745678505686e-14	3.01997808238204e-14
"TCGA.2J.AABR.01"	4.33138010789087e-06	0.092204002885425	0.23292878505216
"TCGA.2J.AABV.01"	0.017848893258474	9.28371363617012e-15	9.28371363617012e-15
"TCGA.2L.AAQA.01"	0.0148040908818937	0.0121973371360718	3.86048227033873e-15
"TCGA.2L.AAQE.01"	0.060985498866327	5.71493306129448e-15	2.94421505526727e-08
"TCGA.2L.AAQI.01"	0.0103640471089917	0.0995503999551223	0.200960233333438
"TCGA.2L.AAQJ.01"	2.11444329607952e-14	0.0662935962108313	0.193359986171381
"TCGA.2L.AAQL.01"	1.1722674626958e-14	0.234784741681193	0.311842243469359
"TCGA.2L.AAQM.01"	0.0704681110808768	0.0020399741386599	0.102129285219372
"TCGA.3A.A9I5.01"	1.17607493922932e-14	0.0129070784284821	1.17607493922932e-14
"TCGA.3A.A9I9.01"	9.55739324689684e-15	0.145300173516567	0.232190730534519
"TCGA.3A.A9IH.01"	3.74077456219884e-14	0.20112631373567	3.74077456219884e-14
"TCGA.3A.A9IJ.01"	0.0743270367667203	0.00109036270163355	3.10919771709426e-15
"TCGA.3A.A9IL.01"	1.59870814439212e-14	0.0241436112578048	1.59870814439212e-14
"TCGA.3A.A9IO.01"	0.0103253308878023	2.4419501368518e-15	2.4419501368518e-15
"TCGA.3A.A9IR.01"	0.0480213474728058	4.03364708924045e-15	4.03364708924045e-15
"TCGA.3A.A9IS.01"	0.0249678834847668	1.09156327754206e-15	1.09156327754206e-15
"TCGA.3A.A9IU.01"	2.86254137766933e-14	0.0176869820538326	2.86254137766933e-14
"TCGA.3A.A9IZ.01"	0.0196532204181636	1.85090330780271e-15	1.85090330780271e-15
"TCGA.3E.AAAY.01"	8.22740165762439e-15	0.169932504439269	0.35049492172229
"TCGA.F2.6879.01"	2.02581127789723e-14	0.186256060493917	1.35897566339459e-11
"TCGA.F2.6880.01"	0.0373228579505312	1.86783113021646e-15	1.86783113021646e-15
"TCGA.F2.A7TX.01"	6.92040965378115e-15	0.125417363383567	0.487951035322259
"TCGA.F2.A8YN.01"	3.00331693511269e-14	0.0635501473296941	3.00331693511269e-14
"TCGA.FB.A4P6.01"	3.78270628339805e-14	0.106920144394855	0.182170093121883
"TCGA.FB.A5VM.01"	7.23257686912658e-15	0.105944275125389	0.34292409336882
"TCGA.FB.A78T.01"	1.49432571091051e-14	0.345434817274745	0.0262468382270381
"TCGA.FB.AAPP.01"	0.0322376761527978	8.45191883121541e-16	8.45191883121541e-16
"TCGA.FB.AAPQ.01"	6.86485305486948e-15	6.86485305486948e-15	6.86485305486948e-15
"TCGA.FB.AAPU.01"	0.00909623013222733	1.29943181921229e-15	1.29943181921229e-15
"TCGA.FB.AAPY.01"	7.07712203178295e-15	0.0730144499846344	0.368719623634423
"TCGA.FB.AAPZ.01"	1.04316298024076e-14	0.0744325479539689	0.23030309452754
"TCGA.FB.AAQ0.01"	0.00704145026819613	1.13734674217684e-15	1.13734674217684e-15
"TCGA.FB.AAQ1.01"	2.03745465371313e-14	0.265707337717881	2.03745465371313e-14
"TCGA.FB.AAQ2.01"	3.17239740684997e-15	3.17239740684997e-15	3.17239740684997e-15
"TCGA.FB.AAQ3.01"	1.71291011835068e-14	0.0366089223331665	0.00168442951238372
"TCGA.FB.AAQ6.01"	6.2595720043011e-15	6.2595720043011e-15	6.2595720043011e-15
"TCGA.H8.A6C1.01"	1.65553818553906e-14	0.109553927818765	0.239665591341886
"TCGA.HV.A5A3.01"	0.0384376861970656	3.95281920982065e-15	3.95281920982065e-15
"TCGA.HV.A5A5.01"	9.90614809212752e-15	0.170007723948354	0.00171094730290069
"TCGA.HV.A5A6.01"	0.0732608013229882	1.81044225282513e-14	1.81044225282513e-14
"TCGA.HV.A7OL.01"	9.01477823415266e-15	0.0813738136616389	0.367799664817646
"TCGA.HV.A7OP.01"	0.111000703280163	1.07729451615338e-14	1.07729451615338e-14
"TCGA.HV.AA8X.01"	0.0250482144197254	3.49364984261927e-15	3.49364984261927e-15
"TCGA.HZ.7289.01"	0.0344373730205747	3.26732757896326e-15	3.26732757896326e-15
"TCGA.HZ.7919.01"	1.10227362707618e-14	0.100920735049107	1.58553726615055e-13
"TCGA.HZ.7924.01"	2.05701666926207e-06	0.0316674189404568	0.288858556229037
"TCGA.HZ.7926.01"	8.44753063967722e-07	8.4132868969375e-15	0.104751864382059
"TCGA.HZ.8317.01"	0.245414866798307	0.127744758946589	2.01296497816095e-14
"TCGA.HZ.8638.01"	0.0926901897599986	5.98418750779363e-15	0.112669933676712
"TCGA.HZ.A49I.01"	1.29783284439634e-14	0.264561823105337	0.0723746669627534
"TCGA.HZ.A4BH.01"	0.105458617601174	0.122974950163373	0.160070398964808
"TCGA.HZ.A4BK.01"	6.74567557111843e-15	0.0894364546740598	0.291705258698123
"TCGA.HZ.A77O.01"	2.31373671429841e-14	0.160779156770217	2.31373671429841e-14
"TCGA.HZ.A8P0.01"	2.32771623918293e-07	0.0587211121019897	0.206842986167305
