"ID"	"S01"	"S02"	"S03"	"S04"	"S05"	"S06"
"TCGA.2J.AAB1.01"	0.100987512247663	0.225313570338363	0.0362795276761753	0.194526992573403	0.196972892186615	1.09837854626607e-14
"TCGA.2J.AAB4.01"	0.0322939095972676	0.120591990958529	0.0659681038380622	0.244708936510257	0.0495343616789785	9.93824619291501e-10
"TCGA.2J.AABF.01"	0.101365136566241	0.0831203129404589	0.183974330542581	0.266892283898492	0.000915668709658222	0.021652978745029
"TCGA.2J.AABH.01"	1.51479129598012e-14	1.51479129598012e-14	1.51479129598012e-14	0.0566098210079258	0.0936152038270989	0.00404629773426233
"TCGA.2J.AABI.01"	0.0131899545919164	0.0177548372515652	0.0314390099734811	9.16523778708399e-15	0.103044955480161	0.346058568216369
"TCGA.2J.AABK.01"	0.145948644468318	0.155641259147128	0.0619204877667318	0.00964530036282863	3.05822053150432e-12	0.259485633000381
"TCGA.2J.AABR.01"	0.217300416418174	9.37954717690709e-15	9.37954717690709e-15	0.316193003604417	0.049875557613713	0.219126887456685
"TCGA.2J.AABV.01"	0.0336032990706431	8.9332874363629e-15	8.9332874363629e-15	0.0980252626922549	8.9332874363629e-15	8.9332874363629e-15
"TCGA.2L.AAQA.01"	0.046303182415301	1.51740706406664e-14	1.51740706406664e-14	0.0109512384399917	0.404996002924647	0.0204360520328028
"TCGA.2L.AAQE.01"	0.350836658760245	0.0178141027598329	1.35293031317019e-14	0.14481297931006	0.356023122858742	1.35293031317019e-14
"TCGA.2L.AAQI.01"	0.0344762465801026	0.243065720245558	0.145164086569817	1.09499916271469e-14	1.52367829920289e-08	0.0826241250420912
"TCGA.2L.AAQJ.01"	0.128399040443535	1.70892799786797e-14	1.70892799786797e-14	0.0978035484853	0.464231544159526	0.0280210122869665
"TCGA.2L.AAQL.01"	0.237658208912755	1.02246418145165e-14	1.02246418145165e-14	0.0778051803674119	0.0680143605172921	0.300658382503463
"TCGA.2L.AAQM.01"	7.75314039038591e-15	7.75314039038591e-15	0.459847828744652	7.75314039038591e-15	0.116812923530509	0.365280360209644
"TCGA.3A.A9I5.01"	0.187311924642114	0.500603453707247	1.44293796018744e-14	1.44293796018744e-14	1.44293796018744e-14	1.44293796018744e-14
"TCGA.3A.A9I9.01"	0.0974621005805973	0.252364759331001	0.0104618639230697	0.139658693194361	3.51876207939347e-13	1.05278990630982e-14
"TCGA.3A.A9IH.01"	0.126615809467452	0.136981547445375	0.00150763659567327	1.2707618667555e-14	0.618221497274197	1.2707618667555e-14
"TCGA.3A.A9IJ.01"	0.175214789627186	1.07957517477894e-14	0.000393895254014458	0.196074799055688	1.07957517477894e-14	1.07957517477894e-14
"TCGA.3A.A9IL.01"	0.387283611421725	1.17499981619067e-14	0.255188578852287	0.0581763766124878	0.206088686907751	1.17499981619067e-14
"TCGA.3A.A9IO.01"	1.63213208222814e-14	1.63213208222814e-14	0.228241938672733	0.071395986692681	0.00702504894148932	1.63213208222814e-14
"TCGA.3A.A9IR.01"	8.78640220108597e-15	0.253140424381391	0.309105407719961	8.78640220108597e-15	0.0950637585659431	8.78640220108597e-15
"TCGA.3A.A9IS.01"	1.07738093033281e-14	1.07738093033281e-14	0.0148134889518732	1.07738093033281e-14	1.07738093033281e-14	1.07738093033281e-14
"TCGA.3A.A9IU.01"	0.0330490169031699	1.25619709561987e-14	1.29277859011226e-07	1.25619709561987e-14	0.452870291478744	1.25619709561987e-14
"TCGA.3A.A9IZ.01"	0.0814032578855659	0.00594435864673879	1.05005652287492e-14	1.05005652287492e-14	0.0742853594349173	0.258129742047057
"TCGA.3E.AAAY.01"	0.323511801047208	0.244301764861745	8.84365196379228e-15	0.261074779330308	8.84365196379228e-15	0.0653761838044275
"TCGA.F2.6879.01"	0.150128027795136	8.24256271225826e-15	7.31138270156943e-13	8.24256271225826e-15	0.758332765331176	0.0387638117411062
"TCGA.F2.6880.01"	7.02578974614743e-15	0.062459625399901	3.24762867679221e-07	0.078028455922671	7.02578974614743e-15	7.02578974614743e-15
"TCGA.F2.A7TX.01"	0.0338163237992295	9.1142413641716e-15	9.1142413641716e-15	0.450336451816616	0.249478455708534	9.1142413641716e-15
"TCGA.F2.A8YN.01"	1.1339160058327e-14	0.0914557220682029	1.1339160058327e-14	1.1339160058327e-14	0.675983591897244	1.1339160058327e-14
"TCGA.FB.A4P6.01"	0.314953136959635	9.78676115217701e-15	0.0646296417374708	0.391272459508243	9.78676115217701e-15	9.78676115217701e-15
"TCGA.FB.A5VM.01"	0.191497158559407	7.86855978461574e-15	7.86855978461574e-15	0.272882210733753	0.196684922131639	0.222101302448629
"TCGA.FB.A78T.01"	8.97971726064949e-15	0.414307033765015	0.0182022975234658	0.110229784583395	8.97971726064949e-15	8.97971726064949e-15
"TCGA.FB.AAPP.01"	0.00431420747416134	1.07823005277654e-14	0.212450566078664	1.07823005277654e-14	2.84439166638162e-12	1.07823005277654e-14
"TCGA.FB.AAPQ.01"	1.26504638891998e-14	1.26504638891998e-14	0.107821974024957	1.26504638891998e-14	1.26504638891998e-14	1.26504638891998e-14
"TCGA.FB.AAPU.01"	1.05722647864432e-14	1.05722647864432e-14	1.05722647864432e-14	1.05722647864432e-14	0.303399317856563	1.05722647864432e-14
"TCGA.FB.AAPY.01"	0.12357206023832	1.24960453923798e-14	1.24960453923798e-14	0.376500318833384	1.24960453923798e-14	0.127764684609973
"TCGA.FB.AAPZ.01"	0.397579231716097	1.21188747203955e-14	1.21188747203955e-14	0.146212549360361	0.0740544384118951	0.216562926819123
