"ID"	"S01"	"S02"	"S03"	"S04"	"S05"	"S06"	"S07"
"TCGA.2J.AAB6.01"	9.21826013794638e-15	9.21826013794638e-15	0.00673585917808451	9.21826013794638e-15	0.00579855303702317	9.21826013794638e-15	0.00581941668966562
"TCGA.2J.AAB8.01"	0.00800658004528181	1.52636599334203e-14	0.0469515014658485	0.0136575677606592	0.0372986634189409	0.0546451319830569	0.0964979147848462
"TCGA.2J.AAB9.01"	0.00930543302412682	1.55056393236115e-14	0.0538568628135175	0.0181121257213007	0.0541346034299559	1.55056393236115e-14	0.112241143259226
"TCGA.2J.AABA.01"	0.00383668803960858	0.0240848400832221	0.0334453880726251	1.05778908677955e-14	0.0179330029526471	0.0946774197555836	0.151442856456101
"TCGA.2J.AABE.01"	1.25717892118515e-14	1.25717892118515e-14	0.0300759991535798	0.0181411690708031	1.25717892118515e-14	0.00191040439027622	0.0159494263362476
"TCGA.2J.AABO.01"	1.34330303960081e-14	0.010705207860496	0.0882701031173921	1.34330303960081e-14	0.0795858223142671	0.0767823537298137	0.137397947524671
"TCGA.2J.AABP.01"	0.0769972806942484	0.000824404721582418	9.07574467445152e-15	0.0534315599809405	9.07574467445152e-15	0.00482862539674932	9.07574467445152e-15
"TCGA.2J.AABT.01"	0.04461602744399	0.0432239754750846	0.0868859639963297	0.15690835067432	0.157964975841263	0.042349511985815	0.149607532188446
"TCGA.2J.AABU.01"	0.00209987487383462	0.000554872579336502	0.102547075205531	0.0301686804513316	1.16573042666762e-14	0.0242833869379656	0.0247018376371958
"TCGA.3A.A9I7.01"	0.0220677395822571	0.0762482551886422	0.438119344466642	0.0313824298992524	0.077788092128221	0.0802566511240999	8.28261148650692e-15
"TCGA.3A.A9IB.01"	1.58303692878774e-14	1.58303692878774e-14	0.0849505479067557	0.0229815655909494	1.58303692878774e-14	0.0209440907146137	0.0306100566405792
"TCGA.3A.A9IC.01"	1.07615101515438e-14	1.07615101515438e-14	0.0860870226424809	0.0226271015936777	1.07615101515438e-14	1.07615101515438e-14	0.00317278077776216
"TCGA.3A.A9IN.01"	6.04491649166655e-15	6.04491649166655e-15	0.0599763058021541	0.0469012717222407	0.127405537347976	0.0172354330565991	0.174181367953225
"TCGA.3A.A9IV.01"	6.54132271983556e-15	0.000261003660994424	0.107933321369958	0.000416534459563449	0.018289617455064	0.131541597857771	0.103442635490239
"TCGA.3A.A9IX.01"	0.0541529204551731	0.226837228072843	0.00553693415791632	0.0499544832078426	0.0501814175873448	0.0475939558074394	0.0815254276345687
"TCGA.3A.A9J0.01"	1.15854336827364e-14	1.15854336827364e-14	0.0142026964707646	1.15854336827364e-14	0.059082742540681	0.0238799364591181	0.00765418295922805
"TCGA.3E.AAAZ.01"	1.16995132342015e-14	1.16995132342015e-14	0.0358109451190103	0.0932166837236406	0.0441670534291009	0.100314109542338	0.0415894002150199
"TCGA.F2.7273.01"	0.102391145314782	0.0883552763798465	0.0449537132930446	0.21405142544935	0.0488067902734345	0.0819123104455756	0.0159116526658028
"TCGA.F2.7276.01"	0.0907818042576249	0.181285828194446	0.0339922663022234	0.0913922031873079	0.0636458811278028	0.171605442289958	0.0465912724077874
"TCGA.F2.A44G.01"	1.32312768299157e-14	1.32312768299157e-14	0.00120447861962132	0.000625803565573251	0.0128655540915362	0.0555812705885372	0.0951131112152652
"TCGA.F2.A44H.01"	1.41837204015483e-14	1.41837204015483e-14	0.0609078185202565	0.0159142684754247	0.0401909506074449	1.41837204015483e-14	0.0308024848306902
"TCGA.FB.A4P5.01"	0.16965442394618	0.287794317740575	0.0345060004786358	0.0632903021531859	0.0864100356235732	0.0241168033851793	0.0776954903060772
"TCGA.FB.A545.01"	9.43089748414542e-15	9.43089748414542e-15	0.0115079275574826	9.43089748414542e-15	0.000572963936369104	0.118024224157687	0.0578596904166805
"TCGA.FB.A7DR.01"	0.000126902320383639	1.21245323370893e-14	0.0666899663149606	0.152814365097442	0.227412510222178	0.036824182160916	0.00213574278462734
"TCGA.FB.AAPS.01"	0.0574027697184093	0.169350483827835	2.2750120207077e-09	0.0457301100012942	0.144388200690204	1.28766179334867e-14	0.0358381352732019
"TCGA.H6.8124.01"	1.03374931682666e-14	1.03374931682666e-14	1.03374931682666e-14	1.03374931682666e-14	0.01953104321823	0.177525879249789	0.104011150608755
"TCGA.H6.A45N.01"	0.0117240390813503	0.129878597546627	0.0776135232930696	0.0566767410321051	0.119319476427579	0.0226634373437948	0.135556320173029
"TCGA.HV.A5A4.01"	0.00881072719948671	1.26085654328213e-14	0.0415658413325935	0.0309177269342406	0.0392100880539807	0.0601160093498733	0.0425538666681427
"TCGA.HV.AA8V.01"	1.53857983759525e-14	1.53857983759525e-14	0.106865701293149	0.00775972561696117	0.0351584734708286	1.53857983759525e-14	0.0316608971713386
"TCGA.HZ.7918.01"	0.28071708460907	0.127413952552873	0.090815166917247	0.0376637226355066	0.0370319247111678	0.103490223435506	0.00493087047143862
"TCGA.HZ.7920.01"	0.0180942292034961	0.161578225870197	0.0420760707884398	0.150120074040074	0.0986794181879503	0.166756428367015	0.056170684396147
"TCGA.HZ.7922.01"	0.0112458771745977	0.0324721645489146	0.0160783602595175	1.82282296895861e-14	0.114141206293794	0.189974378717574	0.00339949456808693
"TCGA.HZ.7923.01"	0.0987500288005988	0.224321998935433	0.0563206828904044	0.122486630000767	0.109696896229977	0.105060206633019	0.107507303414225
"TCGA.HZ.7925.01"	0.00168375670752051	0.000437811528367813	0.121087896191209	0.000518116967004254	0.0839083726819343	0.0128005210145044	0.0192694420511022
"TCGA.HZ.8001.01"	0.0109273860153673	0.161951389902293	0.0267148092297695	0.0498401286247238	0.0963237019531831	1.12605100473284e-14	0.0880467691903966
"TCGA.HZ.8002.01"	0.0476045854673908	0.0747360382153221	0.0169002305215167	0.102952147929602	0.0523496349039539	0.177213284069181	0.0208345762906901
"TCGA.HZ.8003.01"	0.0623360608028683	0.115931816152234	0.0331916342799523	0.0204941913702193	0.0192944821746029	1.36663190785629e-14	0.0351835484594689
"TCGA.HZ.8005.01"	0.0293075729812752	1.11050466480594e-14	1.11050466480594e-14	1.11050466480594e-14	0.0127571916228632	0.062513507936238	0.0021758937118632
"TCGA.HZ.8315.01"	0.0789501228805298	0.0641716427103855	1.4386708760786e-14	0.0160030384000993	0.0455099259142477	0.23847631225933	0.159437900846494
"TCGA.HZ.8519.01"	0.0323960777746278	0.0635504752402075	0.0415915135917092	0.11124914060153	0.0580814889489239	0.144286631343938	0.0637852025408054
"TCGA.HZ.8636.01"	0.059715565861045	0.0248508196245568	0.0277546374699001	1.28705881413807e-14	0.0396509837383942	0.246092965229321	0.0946198030605324
"TCGA.HZ.8637.01"	0.280602561917792	0.163687670933504	0.119684666499617	0.000567711291089994	0.102985696878009	0.153309157071511	0.0740935758295272
