"ID"	"S01"	"S02"	"S03"	"S04"	"S05"	"S06"
"TCGA.2J.AAB6.01"	0.0313928637553359	0.0483841530031468	0.0633505631641069	0.0103671741306024	0.0182981661803111	0.0492377664743036
"TCGA.2J.AAB8.01"	0.0213476268241143	0.0276488981037986	0.331068301765148	1.09073485439083e-14	0.163140459252336	0.0932447127804187
"TCGA.2J.AAB9.01"	0.0394720983237325	0.0623457973201491	0.0861244758999325	0.00869451721767078	0.0460936703385196	0.0144676110400315
"TCGA.2J.AABA.01"	0.0969786182096441	0.167017528811008	0.0072802091689698	1.35527700740903e-14	0.292084242273131	0.0149783093398951
"TCGA.2J.AABE.01"	0.00543506763609763	0.0934246681051277	0.0214417759408023	1.28459287306882e-14	0.0663079253064442	0.332468576474646
"TCGA.2J.AABO.01"	0.164713181061491	0.0799104971693486	0.0869799558764615	0.0129941703673809	0.00303416293247748	1.26907988818333e-14
"TCGA.2J.AABP.01"	0.0236030133229862	0.0202631124507923	2.97170429262388e-12	0.0957952963703671	0.353306714224281	0.0488746021298785
"TCGA.2J.AABT.01"	0.529256187964642	0.00669756528991206	0.020285294753301	1.5202596015511e-11	0.218212332327571	0.0573930019324959
"TCGA.2J.AABU.01"	0.089292920290852	0.039053382292433	0.0311556388631914	0.000869294463335159	0.12276465742047	1.13375793727921e-14
"TCGA.3A.A9I7.01"	0.102246128490562	0.064797657219875	0.134148124893713	0.0410507020370184	0.0185898555623701	6.45234929697021e-15
"TCGA.3A.A9IB.01"	0.109376562753398	0.0742278527066462	0.00142114726636038	1.411193180709e-14	0.126850415717471	0.0851414794408739
"TCGA.3A.A9IC.01"	0.097088524913986	0.0335264375627513	0.0192229704228694	1.27581919783487e-14	0.252732090890033	0.0925767400098952
"TCGA.3A.A9IN.01"	0.175105081424121	0.214605394748499	0.368391006006341	6.51863690940344e-15	6.51863690940344e-15	0.103137995047325
"TCGA.3A.A9IV.01"	5.00998250929072e-11	0.127723685636587	0.534698250526056	6.22555184731053e-15	0.024639849044387	6.22555184731053e-15
"TCGA.3A.A9IX.01"	0.145013467882723	0.0729245305360834	0.0933657344430065	0.2782767974158	0.0650970834352529	0.0629795155912941
"TCGA.3A.A9J0.01"	0.0253635932279295	0.0816083955899774	0.00683320328178202	1.31070868177402e-14	0.0130653919635062	0.0781916046017963
"TCGA.3E.AAAZ.01"	0.395111671945382	0.00826259585117463	0.183779912308585	9.81316203195099e-15	0.0110003368144593	9.81316203195099e-15
"TCGA.F2.7273.01"	0.175825517382754	0.0663043886066816	0.0979338881496751	0.187561903904378	0.155920095207487	0.0690444881942121
"TCGA.F2.7276.01"	0.148716526841086	0.0870660342240515	0.116308457074774	0.114484405261608	0.0771467072981966	0.166991968002545
"TCGA.F2.A44G.01"	0.000393813971729721	0.0788272993296565	0.0491304003899571	0.0188207027648168	0.00254619281563237	0.145765613981086
"TCGA.F2.A44H.01"	0.0193165899703157	0.107397821134916	2.82265465559445e-14	0.0346200568415989	0.0863554605881083	0.161820710096484
"TCGA.FB.A4P5.01"	0.169809831872309	0.181457938294328	0.0674880438453917	0.335483574081917	9.52495263643848e-14	0.0278995588478411
"TCGA.FB.A545.01"	0.000711576376598713	0.0758548335522987	0.0605574266621289	1.12438057864713e-14	0.0323952810021815	0.00270703005231991
"TCGA.FB.A7DR.01"	0.50289376562982	0.00465314973214344	0.0887292549522969	6.88119121377221e-08	0.0422703445593097	0.0171276169236522
"TCGA.FB.AAPS.01"	0.0798107169660775	0.0478687230563851	3.50478580938338e-11	0.13689554029945	0.327919198142058	0.102229364284393
"TCGA.H6.8124.01"	0.0263085398232522	0.102959750100234	0.0994818103187662	1.22171491864874e-14	0.0567991264377866	1.22171491864874e-14
"TCGA.H6.A45N.01"	0.0797074832809892	0.226228007656271	0.134174511880069	0.135412856023256	0.0993606140642764	0.0177574295321099
"TCGA.HV.A5A4.01"	0.0230156367499269	0.211554131737256	0.113192927327547	0.000612057277374757	0.0359739199969655	0.0166989100968808
"TCGA.HV.AA8V.01"	0.0465030019273988	0.192222383249413	0.0878507492145258	0.0392648281222682	0.157945895429079	0.0394072978730341
"TCGA.HZ.7918.01"	0.0190352074289228	0.030312519417286	0.111371851302006	0.205754518692287	0.0798921367601461	0.0746488098365154
"TCGA.HZ.7920.01"	0.271337761806241	0.0929974250309771	0.219226529796469	0.208404911309295	0.107335230575603	0.066564358675703
"TCGA.HZ.7922.01"	0.0258782552860869	0.0141226497345626	0.0469671249868577	1.26172647066272e-14	0.346739336220632	0.0448517831168976
"TCGA.HZ.7923.01"	0.329804504752666	0.116058634255997	0.0454577196311424	0.306845538799371	0.0507315100710759	0.0991112457508538
"TCGA.HZ.7925.01"	0.00971868037354261	0.0639299960902723	0.0111928397402403	1.03029532371268e-14	0.533160527613288	0.195541240048152
"TCGA.HZ.8001.01"	0.190950390941588	0.160492624166619	0.0152599982851769	0.282732963523683	0.0708936623287287	0.132033828963143
"TCGA.HZ.8002.01"	0.234714560424467	0.035877460001689	0.0974681782663799	0.236540270037452	0.160958173658169	0.0374281271055369
"TCGA.HZ.8003.01"	0.0313437178446777	0.0268710274258742	0.124615410489441	0.117368036896711	0.0126713392718395	0.0006502754338491
"TCGA.HZ.8005.01"	0.0125580025140742	0.00550351908044915	1.1975436795691e-14	1.1975436795691e-14	0.190905716835135	1.1975436795691e-14
"TCGA.HZ.8315.01"	0.026038783380064	0.133725777423442	0.156640030679963	0.0687668642377378	0.190970857887599	0.174968320978179
