"ID"	"S01"	"S02"	"S03"	"S04"	"S05"	"S06"
"TCGA.2J.AAB1.01"	0.137238132890058	0.231001629666497	0.19132444041481	0.0434736182024234	0.396962178826168	1.45183172717556e-14
"TCGA.2J.AAB4.01"	0.112583965760954	0.1957324391054	0.265593575592051	0.193144093007325	0.232945926534229	1.37893977271042e-14
"TCGA.2J.AABF.01"	0.0719139964908703	0.195796754988118	0.216590597789344	0.281806919614435	0.193798634556283	0.0400930965609213
"TCGA.2J.AABH.01"	0.223044470662483	0.0272601791432848	0.284385263295086	0.125833167151484	0.285585710902117	0.0412490483116528
"TCGA.2J.AABI.01"	0.146413596983627	8.5827539175873e-15	0.341732655245615	0.273527476011668	8.5827539175873e-15	6.62603418963553e-06
"TCGA.2J.AABK.01"	0.288533728490431	0.250487976483455	1.27431454421804e-14	1.27431454421804e-14	0.388496984644833	0.064423671131767
"TCGA.2J.AABR.01"	0.165013053795489	0.454621782422434	0.244767814111386	0.0435311960366907	0.0920661536339667	1.12827414093324e-14
"TCGA.2J.AABV.01"	6.14957490600249e-15	6.14957490600249e-15	6.14957490600249e-15	6.14957490600249e-15	6.14957490600249e-15	6.14957490600249e-15
"TCGA.2L.AAQA.01"	0.363095348835598	1.50057479056594e-11	0.321455259315552	1.3214364029798e-14	0.199884375163837	1.3214364029798e-14
"TCGA.2L.AAQE.01"	0.155228392379244	1.28820519300516e-14	0.29941854464155	0.171955054452628	0.0525691158023716	2.87148478915528e-08
"TCGA.2L.AAQI.01"	0.20317791547705	0.0143183773601959	0.128348733867539	0.181844842838315	0.406707955381781	0.0656021750735371
"TCGA.2L.AAQJ.01"	0.202471822373961	0.119939747027393	0.256459366302376	0.111794264636411	0.302849402321476	1.55280349590661e-14
"TCGA.2L.AAQL.01"	0.146592275421094	0.206323893970181	1.9137067019967e-09	0.113799664047932	0.257058789274529	0.0507921892811338
"TCGA.2L.AAQM.01"	5.79554888231228e-15	0.0858047727100686	5.79554888231228e-15	0.0113287121406925	0.0253340932772533	0.452284174367145
"TCGA.3A.A9I5.01"	0.121785745878427	0.0576512401995302	1.03776295575727e-14	0.164523142547798	0.0456777318274275	0.308176668178382
"TCGA.3A.A9I9.01"	0.0965305023240729	0.101256811613263	0.0817563494924278	2.63701919069437e-09	0.115114364813981	0.136014895991556
"TCGA.3A.A9IH.01"	0.281387207749314	1.62431082776165e-14	0.338362153485608	0.0748615646279837	0.165798131741436	4.90106823010016e-07
"TCGA.3A.A9IJ.01"	4.647249410932e-15	0.0528590781171207	4.647249410932e-15	4.647249410932e-15	4.647249410932e-15	0.472668306499412
"TCGA.3A.A9IL.01"	7.62487944589646e-15	0.100232967361127	7.62487944589646e-15	7.62487944589646e-15	7.62487944589646e-15	0.455521924917464
"TCGA.3A.A9IO.01"	5.37529955023091e-15	0.0222279466423009	5.37529955023091e-15	5.37529955023091e-15	5.37529955023091e-15	0.418448448135813
"TCGA.3A.A9IR.01"	4.61202830128195e-15	4.61202830128195e-15	4.61202830128195e-15	4.61202830128195e-15	4.61202830128195e-15	0.483834376939402
"TCGA.3A.A9IS.01"	3.57677118056279e-15	3.57677118056279e-15	3.57677118056279e-15	3.57677118056279e-15	3.57677118056279e-15	0.402279028994501
"TCGA.3A.A9IU.01"	0.248208270401622	1.4284263246964e-14	0.431316839462148	0.0470663388665513	0.205608687173917	1.91988773486182e-06
"TCGA.3A.A9IZ.01"	0.331833930148681	0.0591086213217046	0.25409379216876	0.0665115645214012	0.19226776257526	1.16671774211062e-14
"TCGA.3E.AAAY.01"	0.0584089221146088	0.480280897388336	0.128013633325448	0.207791340226585	0.125505151791827	5.51531661497634e-08
"TCGA.F2.6879.01"	0.141689472325827	0.172117515854669	0.215891153629856	0.155388051630144	0.182635407078686	0.0997904377795737
"TCGA.F2.6880.01"	5.06043820489869e-15	5.06043820489869e-15	5.06043820489869e-15	5.06043820489869e-15	5.06043820489869e-15	0.0457704466716274
"TCGA.F2.A7TX.01"	0.176769148690578	1.28364346927318e-14	0.222126366331348	0.459863624179848	0.104821897102437	0.0364189636952619
"TCGA.F2.A8YN.01"	0.428928013043508	1.26877261655174e-14	0.247866627256106	0.0668047798428589	0.17491586241595	3.43830920693905e-09
"TCGA.FB.A4P6.01"	0.037850912248416	0.569791781113517	0.0772848496542176	0.00187276140989956	0.212619077687517	0.100580617886409
"TCGA.FB.A5VM.01"	0.480483959014855	5.35562416121252e-06	0.176039323045437	0.106254520637493	8.0559229596598e-15	5.07154036672504e-10
"TCGA.FB.A78T.01"	0.0730243410828655	2.55900616691357e-11	0.0108122839412252	0.268218558674026	0.465204109310453	0.0234165137174058
"TCGA.FB.AAPP.01"	0.0503243626274702	6.40784769379718e-15	0.00702539336153789	6.40784769379718e-15	0.17213358278771	0.149081419961238
"TCGA.FB.AAPQ.01"	0.288233351086913	0.0664635747837345	0.0676234444631239	0.093731536083815	0.343256632866023	1.34017423496146e-14
"TCGA.FB.AAPU.01"	0.0495818228841789	4.79884692785707e-06	0.000638454914645194	0.102251266597681	0.3674870985371	1.00616932166174e-14
"TCGA.FB.AAPY.01"	0.185091088425172	0.0959112107340073	0.0830468606752418	0.301763917022537	0.321544874628743	1.36721984924019e-08
"TCGA.FB.AAPZ.01"	0.262841448031014	0.262139338442769	0.406390570125636	5.7376218327261e-13	0.068628643399969	1.24255958060858e-14
"TCGA.FB.AAQ0.01"	0.161789433591223	1.20550078432841e-14	0.073196992997064	0.11052110384301	0.330996544363412	1.20550078432841e-14
