"ID"	"S01"	"S02"	"S03"	"S04"	"S05"	"S06"	"S07"	"S08"
"TCGA.2J.AAB1.01"	0.066372125686387	0.182384585401523	0.128275087005992	0.0206939615360671	0.258440388251678	0.00729428385041856	0.17242062320657	2.34191450210529e-05
"TCGA.2J.AAB4.01"	0.0996247032751442	0.0655533659621596	0.104321120718464	0.0694165952293212	0.115151696328002	0.0836696201971674	0.254204626215353	0.0181332053852236
"TCGA.2J.AABF.01"	0.0660203915329613	0.135819667774808	0.108095766256557	0.129926817794042	0.073923238175775	0.215815388683268	0.270398729782536	1.06782724131429e-14
"TCGA.2J.AABH.01"	0.120800175968125	0.0479713654822365	0.114309774779365	0.0239774362443398	0.102091890961272	0.136681715480358	0.132069157087332	1.49608718341475e-14
"TCGA.2J.AABI.01"	0.0185124017808253	1.17134162468649e-14	0.132545474572294	0.0479102311897156	0.113807147937004	1.17134162468649e-14	0.0858434646495289	0.276128042101103
"TCGA.2J.AABK.01"	0.115236550353652	0.0240132586342376	1.1974926915592e-14	0.0824115060680856	0.169055755846394	0.356798669434106	0.103867883772948	0.00857495937659823
"TCGA.2J.AABR.01"	0.23074630408116	0.226499545346836	0.0966060912559506	0.0884885551293047	2.52497744103055e-12	0.0285239263142279	0.257784441564877	1.13672653301885e-14
"TCGA.2J.AABV.01"	0.068376980619712	5.9724459137061e-15	5.9724459137061e-15	5.9724459137061e-15	0.00460881789438064	5.9724459137061e-15	5.9724459137061e-15	5.9724459137061e-15
"TCGA.2L.AAQA.01"	0.0183303756929625	1.48335887637686e-14	0.171875537211606	1.48335887637686e-14	1.48335887637686e-14	1.48335887637686e-14	1.48335887637686e-14	0.261769277623443
"TCGA.2L.AAQE.01"	0.0119418639789793	0.239599817542616	0.16095363857364	0.0595930335659193	0.0762416020729851	0.0321480087009802	0.0591735893608149	0.00446852322818204
"TCGA.2L.AAQI.01"	0.0737165151069659	0.060889688611008	0.0385957115293148	0.191576444276786	0.0416231519296765	0.220560659331868	0.124755680079604	1.45838964769236e-14
"TCGA.2L.AAQJ.01"	1.38360829463494e-14	0.155949846507567	0.0637038744675378	0.126243895224444	0.0871118359542314	0.0586903895362321	0.0286721400407051	0.0916883964911097
"TCGA.2L.AAQL.01"	0.183630682879776	0.191426472771006	0.0907971367520399	0.0132348776292902	0.0525876909591624	1.20225767317841e-14	0.15706978430096	7.72611215171014e-08
"TCGA.2L.AAQM.01"	6.81074455459319e-15	0.0964800924924571	6.81074455459319e-15	0.108636544677637	0.108854545972604	0.320193952151905	6.81074455459319e-15	6.81074455459319e-15
"TCGA.3A.A9I5.01"	0.18942824326307	0.0822213589886049	0.0449362880830863	1.00029485477459e-14	0.0965813098842561	0.200910177960384	1.00029485477459e-14	1.00029485477459e-14
"TCGA.3A.A9I9.01"	0.122753383456741	0.0201803022436953	0.0601588409518106	1.45933478424308e-14	0.0860138009966071	0.238843204243444	0.157974603323115	0.0381555597780746
"TCGA.3A.A9IH.01"	0.103365909620918	0.226696212997918	0.147984593844963	0.116509118972353	1.97212049698602e-14	0.098508211165431	1.97212049698602e-14	0.099053847071014
"TCGA.3A.A9IJ.01"	0.0770771501482291	0.0659522303058887	5.27915454048004e-15	5.27915454048004e-15	0.0239023129431474	0.40912661134067	0.010450317555156	5.27915454048004e-15
"TCGA.3A.A9IL.01"	8.89981682940872e-15	0.234454408230756	8.89981682940872e-15	8.89981682940872e-15	0.089664731319114	0.376485279868291	0.00462400135510736	8.89981682940872e-15
"TCGA.3A.A9IO.01"	0.0563606934689199	0.0165036520006252	5.4308676359824e-15	0.00076742931420983	0.000142502856214758	0.474545480691009	5.4308676359824e-15	5.4308676359824e-15
"TCGA.3A.A9IR.01"	5.45705941073083e-15	0.025914123873383	5.45705941073083e-15	0.0963123792587533	0.0719917597267556	0.338068651505476	5.45705941073083e-15	5.45705941073083e-15
"TCGA.3A.A9IS.01"	0.0278817346565894	4.44833711508737e-15	4.44833711508737e-15	0.0405294318476931	7.57799870708109e-15	0.333540941527327	4.44833711508737e-15	4.44833711508737e-15
"TCGA.3A.A9IU.01"	0.144581123752738	1.52386816385288e-14	0.275844720426677	0.125115249769188	0.130155262238969	8.01458730059614e-12	1.52386816385288e-14	0.226655877337005
"TCGA.3A.A9IZ.01"	0.122924088503661	1.2597344850131e-14	0.139754631118582	0.0605970575640913	0.0038720361630696	0.00919497318843621	1.2597344850131e-14	0.28750209245611
"TCGA.3E.AAAY.01"	0.136447789829241	0.317867672450929	0.0881391087210586	0.0364268326820633	0.0694790024882983	0.124635179354611	0.227004414473742	1.13014591536784e-14
"TCGA.F2.6879.01"	1.07810808400174e-14	4.82666682596552e-07	0.238199548614547	0.270921772609139	0.00419562934112707	0.0193075228661367	0.0457002887607266	0.0762516115566662
"TCGA.F2.6880.01"	0.042070868106711	5.27144577212973e-15	5.27144577212973e-15	5.27144577212973e-15	0.0307228267620399	5.27144577212973e-15	5.27144577212973e-15	5.27144577212973e-15
"TCGA.F2.A7TX.01"	0.175363530941964	0.0423797246332189	0.0553337367212521	0.0887049664318723	0.00509719303876334	1.31615476746433e-14	0.234817038769769	0.257908811444277
"TCGA.F2.A8YN.01"	1.68375433875224e-14	1.68375433875224e-14	0.399035612592596	0.035370532171637	1.68375433875224e-14	0.0168136625715145	0.00460643689659746	0.12605388692906
"TCGA.FB.A4P6.01"	0.0701640771852592	0.297179424414687	0.120582734422867	0.079096768481462	0.070235582230124	0.163590752830248	0.199150660435295	1.15036853740924e-14
