"ID"	"S01"	"S02"	"S03"	"S04"	"S05"	"S06"	"S07"	"S08"
"TCGA.2J.AAB6.01"	0.00101483236154651	8.5004485511306e-15	0.0221615590139623	0.022774088698162	8.5004485511306e-15	8.5004485511306e-15	0.121228473215929	0.0410815988709001
"TCGA.2J.AAB8.01"	1.33320594256018e-14	0.00231023394365956	0.0113137816385908	0.0322152974964328	1.33320594256018e-14	0.00592935412747183	0.138898631081059	0.0780797294218442
"TCGA.2J.AAB9.01"	1.14622779004822e-07	0.00238969923446868	1.59839200951595e-14	0.0392326324548254	0.0248500437783255	0.00110810151609262	0.069616392928633	0.0333052998622713
"TCGA.2J.AABA.01"	0.00031997791687204	1.30372372698812e-14	0.00152488839007571	1.30372372698812e-14	0.0510452734232835	0.00490945153796828	0.0212333720169254	0.0496871264866511
"TCGA.2J.AABE.01"	1.31311137013559e-14	0.147920553231164	1.31311137013559e-14	0.0439333458817014	1.31311137013559e-14	0.0438695339170009	0.0720913679905051	0.0241727857520235
"TCGA.2J.AABO.01"	9.60024903147179e-15	9.60024903147179e-15	9.60024903147179e-15	0.0209960646851369	0.00575490867293384	0.020308405470615	0.0581166988399277	0.015652908409197
"TCGA.2J.AABP.01"	0.00808624550832621	0.0488902973215457	0.196609394438342	0.00926045114200876	0.0183591908702079	5.96234460965748e-15	0.0358599582586614	0.141812383814742
"TCGA.2J.AABT.01"	0.0608813378861972	0.0917080320214771	5.9243233713467e-06	0.200356675015793	0.112536407288064	1.30714124746135e-14	0.00195707974801968	1.30714124746135e-14
"TCGA.2J.AABU.01"	8.80883817168463e-15	8.80883817168463e-15	0.00142104210624565	0.00978052295039511	0.0332902256911059	0.0475960154065615	0.0982149225059207	0.0246631210051685
"TCGA.3A.A9I7.01"	0.0776949165167101	0.00130098944376866	0.01894025255215	0.075156504417885	5.02888742915486e-12	0.0253036895901524	0.0525102219753502	0.0832656368253176
"TCGA.3A.A9IB.01"	1.8788086991728e-14	0.0379299864689006	0.0260212085908479	0.038800617793593	0.0113727956644537	1.8788086991728e-14	0.139857179504321	0.0319115320837773
"TCGA.3A.A9IC.01"	0.00048071449428687	0.000607507305456541	1.37440396196665e-14	0.0154628696938729	1.37440396196665e-14	0.00316855397551076	0.0708266551586943	0.184923240899717
"TCGA.3A.A9IN.01"	6.39497767308276e-15	6.39497767308276e-15	6.39497767308276e-15	0.0821072487306604	0.103892970518761	7.73872144355306e-05	6.39497767308276e-15	6.39497767308276e-15
"TCGA.3A.A9IV.01"	6.39610805900047e-15	6.39610805900047e-15	6.39610805900047e-15	0.0504042674080965	6.39610805900047e-15	6.39610805900047e-15	0.00869479349963369	6.39610805900047e-15
"TCGA.3A.A9IX.01"	0.265261954948533	0.0322734284566723	0.0116693193613497	0.0603331279980676	0.172843948476604	0.104673824321983	0.0358409230333991	8.20203470319362e-05
"TCGA.3A.A9J0.01"	0.0128788390835632	1.9306838789274e-12	1.01308790941539e-14	0.0170462624001931	1.01308790941539e-14	1.01308790941539e-14	0.0328753702954555	0.00785465757025462
"TCGA.3E.AAAZ.01"	1.29303088728485e-14	1.29303088728485e-14	1.29303088728485e-14	0.118204948049859	0.00998034382771758	1.29303088728485e-14	0.0239134745301062	0.0350765883148648
"TCGA.F2.7273.01"	0.117896270506935	0.132152914654065	0.0600869417725264	0.0882689431983853	0.220140644011754	0.0126925793802532	0.0330030477242701	0.0278922454147769
"TCGA.F2.7276.01"	0.149524340436192	0.0700436939275622	0.0173311499760865	0.0389563045909606	0.164588003291567	0.00970630384400083	0.17196878115733	0.0350374457768684
"TCGA.F2.A44G.01"	1.26425574344098e-14	0.0236562746417646	0.0108175546597865	0.016340951071778	1.26425574344098e-14	0.0143329913411554	0.170037640653555	0.00814584667376789
"TCGA.F2.A44H.01"	1.31056816255137e-14	0.132582999541921	1.31056816255137e-14	3.97872163750696e-13	0.00930144138913591	0.0733397439119695	0.020145964788217	0.0630727667326215
"TCGA.FB.A4P5.01"	0.304086623157809	0.0780055905413336	0.0646182478161163	0.0224809467455177	0.0870158054750821	0.00678480497239078	0.0404064921160236	0.00312128950892315
"TCGA.FB.A545.01"	9.03375683749548e-15	9.03375683749548e-15	9.03375683749548e-15	0.0333746424055107	9.03375683749548e-15	9.03375683749548e-15	0.0550189485844497	0.0335787024364136
"TCGA.FB.A7DR.01"	0.00257245144451226	0.00532796391627834	0.201352738666126	0.144928169214092	0.0543384649497311	1.31914040987419e-14	0.0264053835093133	0.0652101293335909
"TCGA.FB.AAPS.01"	0.162635391753072	0.0200422514148022	0.0649165345684775	0.0314622862284979	0.118574263858287	1.33675102414243e-14	0.0194971267615602	0.27376132809617
"TCGA.H6.8124.01"	9.20762572292011e-15	9.20762572292011e-15	2.9148932824934e-06	0.0186395439713883	9.20762572292011e-15	0.0188941009652488	0.144209944288415	0.0335338476149609
"TCGA.H6.A45N.01"	0.0751975340617333	0.0324541003765222	0.00988472931485179	0.122364926669189	0.0242066695083025	0.0496099203558655	0.0173110433940271	0.0109897993056399
"TCGA.HV.A5A4.01"	1.19385851205158e-14	1.19385851205158e-14	0.000666397899288404	0.0352480556987266	1.19385851205158e-14	0.042617976683978	0.0251949365589579	0.0229952667776036
"TCGA.HV.AA8V.01"	1.54752203951554e-14	0.0520668540761138	0.00162246973544771	0.00925097758210629	0.0215014368635481	0.00319835579174586	0.0316846976726688	0.127022508760053
"TCGA.HZ.7918.01"	0.242673783575839	0.0419049016107102	0.196551048922628	0.0409164055506091	0.0175989430841897	1.2589786031117e-14	0.0172028208579488	1.2589786031117e-14
