"ID"	"S01"	"S02"	"S03"	"S04"	"S05"	"S06"
"TCGA.2J.AAB6.01"	1.1443168841753e-14	0.0266248189749359	0.0837713607610444	1.1443168841753e-14	1.1443168841753e-14	0.041953623095837
"TCGA.2J.AAB8.01"	0.000358979136983162	0.0320766805674234	1.14814924973735e-14	0.0671509883346639	1.14814924973735e-14	0.130824636946508
"TCGA.2J.AAB9.01"	0.00531299289581509	1.39285955190669e-14	0.0722905966684439	0.0600260324390301	0.245407744339423	0.0815039029770477
"TCGA.2J.AABA.01"	0.0674121041454611	1.22921723867338e-14	0.00880120800849852	0.127034134509702	0.0680886470370035	0.109476433757186
"TCGA.2J.AABE.01"	1.70170340814447e-14	0.0158783389853928	0.00818288378218993	0.0241760448665725	0.00272910379437428	0.0504642445489744
"TCGA.2J.AABO.01"	0.0199730951478404	1.50221772006923e-14	0.0544776414152189	0.0846284429558772	0.0690490032398889	0.0721774134111299
"TCGA.2J.AABP.01"	0.0447230951164157	0.179464073017563	0.0329218795536222	8.77191323758375e-15	8.77191323758375e-15	0.0685770182757439
"TCGA.2J.AABT.01"	1.20619836189503e-14	0.0759937902354552	0.10636186586669	0.156491652507191	0.0710312731097745	0.0507881292895926
"TCGA.2J.AABU.01"	0.015285188389046	1.12967789456091e-14	0.0158782269963873	0.202728761901188	0.0129833370300439	0.0171628922420194
"TCGA.3A.A9I7.01"	0.0921370926595729	5.43068562070749e-15	0.0612134835868733	0.538201794689032	0.00884201700013751	5.43068562070749e-15
"TCGA.3A.A9IB.01"	1.4735403700947e-14	1.4735403700947e-14	0.00699814053021078	0.0598218029065967	0.0110816057719061	0.228827711893969
"TCGA.3A.A9IC.01"	1.47613674670217e-14	1.47613674670217e-14	1.47613674670217e-14	0.0404011564708166	1.47613674670217e-14	0.0493802617238717
"TCGA.3A.A9IN.01"	7.30821545618028e-15	7.30821545618028e-15	0.292380019796605	0.0238341918401881	0.0943794505665593	0.0534625756304312
"TCGA.3A.A9IV.01"	4.25453660029415e-15	0.00555806554462282	0.173875616076216	0.0265297810913248	4.25453660029415e-15	0.127384810069562
"TCGA.3A.A9IX.01"	0.156938029308654	0.13056360843856	0.0804949061068942	0.0563106209008273	0.088323943505142	0.0423514256251949
"TCGA.3A.A9J0.01"	0.0730227664132591	1.56588594210844e-14	0.0101357707149052	0.0229428843348727	1.56588594210844e-14	0.147661552096296
"TCGA.3E.AAAZ.01"	0.00710522623510905	1.1211542029024e-14	0.0633708695550982	0.0880712029387036	0.0524163762774345	0.0113472929366013
"TCGA.F2.7273.01"	0.000545692275605548	0.183039974918479	0.138336060984132	0.0350813622850179	0.337798369070995	0.0380112641823735
"TCGA.F2.7276.01"	0.0979153947951792	0.120160510007172	0.0980631381993408	0.0689935413232142	0.25271947226483	0.164060190247043
"TCGA.F2.A44G.01"	1.35486931315139e-14	0.0186455219714351	1.35486931315139e-14	0.0243421074788258	1.35486931315139e-14	0.0700300168515965
"TCGA.F2.A44H.01"	1.44905641880388e-14	0.0444879876284977	0.0448799627348864	0.0429570292844608	0.177254646681076	0.0117811685484355
"TCGA.FB.A4P5.01"	0.226073112083943	0.0901831657529731	0.0660157433202066	0.0173341712789624	0.030834104850681	0.073247222645266
"TCGA.FB.A545.01"	1.13107119265025e-14	0.00756337058784271	0.0108193921241525	0.000188352236527654	1.13107119265025e-14	0.0666095014243858
"TCGA.FB.A7DR.01"	0.00212590536049984	0.000114216348194293	0.0680036648351822	0.191748005359847	0.0931032308337508	0.056000576339768
"TCGA.FB.AAPS.01"	0.12366432846688	0.0821568813000428	1.66347124677605e-14	0.0231322694490075	0.0341509055986313	1.66347124677605e-14
"TCGA.H6.8124.01"	8.33301379208132e-15	0.000386215435563751	0.0024645695465952	8.33301379208132e-15	0.0924041974321946	0.137190485393442
"TCGA.H6.A45N.01"	0.0304513573003375	0.0473044567049851	0.0981470235380358	0.0738902415141834	0.0917603600903479	0.0582904550553018
"TCGA.HV.A5A4.01"	0.0180165982797819	0.00953356817142175	0.0466324173901491	0.15230454818783	1.38963196270878e-14	0.0184131608815848
"TCGA.HV.AA8V.01"	0.0203677903403362	0.0313592447337943	1.4156102065219e-14	0.16538077840284	0.0566350709390152	1.10427618377762e-12
"TCGA.HZ.7918.01"	0.139566411447134	0.194867899070463	0.0834452598123355	0.0247887805904108	0.184899688404192	0.19871244967786
"TCGA.HZ.7920.01"	0.100525306998844	0.0611216435226284	0.243682679222208	9.91271411594448e-15	0.112279240302264	0.238720683297496
"TCGA.HZ.7922.01"	0.0143058597573501	0.0142162229957553	0.00186563882580771	0.0477339057060547	0.0402882011341554	0.140458406652491
"TCGA.HZ.7923.01"	0.17419756724394	0.195100457700908	0.208636999258912	1.01388287647827e-14	0.102919714524246	0.0269033164355528
"TCGA.HZ.7925.01"	1.58802270860273e-14	0.0273357744189647	1.58802270860273e-14	0.0294005698029617	0.0275279450101651	0.00560377384795155
"TCGA.HZ.8001.01"	0.17122292456391	0.1267044833579	0.169569352371691	3.61877758643818e-06	0.0641811333995871	0.142360381436522
"TCGA.HZ.8002.01"	0.0122649897925654	0.117216370456309	0.0984444233659883	0.0359027359906834	0.326913469185085	0.169061594483666
"TCGA.HZ.8003.01"	0.0483531468056717	0.044963289010029	0.107787374020191	0.0823239625259755	0.135997821764032	1.04116591191032e-14
"TCGA.HZ.8005.01"	1.33627504320968e-14	0.00365091791948363	1.33627504320968e-14	0.000335819803711411	1.33627504320968e-14	0.0451935407700363
