"ID"	"S01"	"S02"	"S03"	"S04"	"S05"
"TCGA.2J.AAB6.01"	7.89846866030184e-15	0.0453135280154708	7.89846866030184e-15	7.89846866030184e-15	7.89846866030184e-15
"TCGA.2J.AAB8.01"	0.0152625230212703	0.150537774275798	1.51358246744984e-05	0.180164205522075	1.38040521479918e-14
"TCGA.2J.AAB9.01"	1.69647275859278e-14	0.0726415038351843	0.0505802381872746	0.00474514610900868	0.00148036167655646
"TCGA.2J.AABA.01"	0.113451915130792	0.0452437085151184	0.0100593326910362	0.26548513805183	0.0691723831393357
"TCGA.2J.AABE.01"	0.00252087705376839	0.0356562267784284	0.0260453517345461	0.102416823090663	1.36267444404352e-14
"TCGA.2J.AABO.01"	0.0174601039812357	0.169998717227071	0.024618909125418	0.0165931885311007	0.0179100940733874
"TCGA.2J.AABP.01"	0.0162400542112315	0.0678549746969502	0.00949366527278996	0.0514549417498208	0.325958260071509
"TCGA.2J.AABT.01"	1.35536429964737e-14	0.175524900454623	0.486356041400149	0.056678755785086	0.0532305126741554
"TCGA.2J.AABU.01"	0.0335000082654501	0.034262525326334	0.0281090562811441	0.0242007359019346	1.17120343826519e-14
"TCGA.3A.A9I7.01"	0.337094396416857	0.168298078174052	0.116522071115212	0.266144034303242	0.111941419990589
"TCGA.3A.A9IB.01"	1.55549868745011e-14	0.00474271420588576	0.0679563544309454	0.00744771793767521	1.55549868745011e-14
"TCGA.3A.A9IC.01"	1.06083766937569e-14	0.00773666378173454	0.0363817066900583	0.0512852623743104	1.06083766937569e-14
"TCGA.3A.A9IN.01"	7.39671348651961e-15	0.179138601198369	0.112553515355658	0.224347750996506	7.39671348651961e-15
"TCGA.3A.A9IV.01"	5.62997854773543e-15	0.19235257862525	5.62997854773543e-15	0.204325228598205	5.62997854773543e-15
"TCGA.3A.A9IX.01"	0.331111357898771	0.138861761805015	0.187793021168865	0.0675409568750217	0.274692902252279
"TCGA.3A.A9J0.01"	0.0104642494288484	0.0266412888517806	0.0176258978932722	0.0345924904983093	1.2052237234876e-14
"TCGA.3E.AAAZ.01"	0.000371960548035604	0.123887060270051	0.137364900466685	0.169086128030177	1.09288748527175e-14
"TCGA.F2.7273.01"	1.29948666556077e-14	0.14753502903605	0.36046122003342	1.29948666556077e-14	0.164679827792906
"TCGA.F2.7276.01"	0.325183175251526	0.116776472997796	0.208390069027401	0.0974126909975064	0.162749280029432
"TCGA.F2.A44G.01"	1.15191359464687e-14	0.0310823650560848	0.000990284096018862	0.0824659332988786	1.15191359464687e-14
"TCGA.F2.A44H.01"	1.23504613149306e-14	0.11111735991853	0.0416502231565698	1.23504613149306e-14	0.00761826521503689
"TCGA.FB.A4P5.01"	0.422917800781581	0.1211655556688	0.0582140714972105	0.0728413086117121	0.158223364269083
"TCGA.FB.A545.01"	7.47953440912858e-15	0.010261196466914	7.47953440912858e-15	0.120642808884103	7.47953440912858e-15
"TCGA.FB.A7DR.01"	1.09163218834631e-14	0.10915212994307	0.286190539103303	0.0575376330813357	1.09163218834631e-14
"TCGA.FB.AAPS.01"	0.283992596268207	0.12022407665816	0.0631013227745797	6.23413859924198e-08	0.191090978843252
"TCGA.H6.8124.01"	8.70695177212038e-15	0.00249223726260848	8.70695177212038e-15	0.0794097753537124	8.70695177212038e-15
"TCGA.H6.A45N.01"	0.170708100406703	0.122231684094806	0.0696912029092276	0.139893971716314	0.21402893909223
"TCGA.HV.A5A4.01"	1.37657815875045e-14	0.0496189194584539	0.00739730006507333	0.210800301527275	1.37657815875045e-14
"TCGA.HV.AA8V.01"	1.63910772185214e-14	0.00212811587859257	0.00888910830754991	0.182301873699574	1.63910772185214e-14
"TCGA.HZ.7918.01"	0.0463551914537891	0.0155108954547789	0.0711442169188882	0.0706807574771686	0.48636507494489
"TCGA.HZ.7920.01"	0.2497621528628	0.152984413290181	0.316356298151819	0.113606643940007	0.0935398531886039
"TCGA.HZ.7922.01"	0.138690678299778	0.0423821743618628	0.0279981678842546	0.0428143253779602	0.0704266585141451
"TCGA.HZ.7923.01"	0.137176256227417	0.0981388450459369	0.358755190762641	0.123028488987687	0.174275430187385
"TCGA.HZ.7925.01"	1.35827345685557e-14	0.0098250986875164	0.0649732309058491	1.35827345685557e-14	1.35827345685557e-14
"TCGA.HZ.8001.01"	0.214992288942959	0.104171427317771	0.27571300326751	1.07476368403068e-14	0.188788738437241
"TCGA.HZ.8002.01"	0.0238273770846649	0.130259435494002	0.433464305140458	0.17805783730225	0.162006736952583
"TCGA.HZ.8003.01"	0.101632227408254	0.0794318593867065	0.0162563926512243	2.53551349720222e-09	0.223002619458896
"TCGA.HZ.8005.01"	1.06016378779694e-14	1.06016378779694e-14	1.06016378779694e-14	0.010689051109847	1.06016378779694e-14
"TCGA.HZ.8315.01"	2.14534352462772e-14	0.0600804153067623	0.142606662599261	0.371819294001783	0.203915961495903
"TCGA.HZ.8519.01"	0.00951784123888766	0.213275440363015	0.360563148903627	0.236162202479071	0.0861562226055263
"TCGA.HZ.8636.01"	1.89587878378438e-14	0.0375363216966547	0.0399569262199107	0.228478628684585	0.146756432660531
"TCGA.HZ.8637.01"	0.283849623779159	0.114817569031627	0.0680227117661615	0.100735362333992	0.224856074034726
"TCGA.HZ.A49G.01"	1.12463374886978e-14	0.184075261875288	0.192614087170191	0.0872637080220808	0.139147361794708
"TCGA.HZ.A49H.01"	0.0487343401430158	0.212075096939348	0.322768884348396	0.0284468025293153	0.164082792266112
