"ID"	"S01"	"S02"	"S03"
"TCGA.2J.AAB6.01"	9.07606262786492e-15	0.0556355346939078	0.0253056861824184
"TCGA.2J.AAB8.01"	9.75440112224865e-15	0.0920063046857632	9.75440112224865e-15
"TCGA.2J.AAB9.01"	0.00234916259371387	0.0431022245968153	0.0160128287559506
"TCGA.2J.AABA.01"	0.00988385786877663	6.07586084445288e-15	6.07586084445288e-15
"TCGA.2J.AABE.01"	0.00625261997306397	0.0221059044100438	1.58286892964751e-14
"TCGA.2J.AABO.01"	7.33240161443726e-15	7.33240161443726e-15	7.33240161443726e-15
"TCGA.2J.AABP.01"	0.0246782915997133	0.248146911877498	0.276302643684953
"TCGA.2J.AABT.01"	0.158459154328404	0.197785734634366	0.034729900120085
"TCGA.2J.AABU.01"	6.52491463745149e-15	3.76839851034704e-07	6.52491463745149e-15
"TCGA.3A.A9I7.01"	0.30051225007839	1.92935165438752e-14	0.101760265580643
"TCGA.3A.A9IB.01"	1.34890251554999e-14	0.0246888721762874	1.72782703318494e-05
"TCGA.3A.A9IC.01"	1.33692573553988e-14	1.33692573553988e-14	1.33692573553988e-14
"TCGA.3A.A9IN.01"	6.37950537794782e-15	0.000670159347569504	6.37950537794782e-15
"TCGA.3A.A9IV.01"	3.52126726219728e-15	3.52126726219728e-15	3.52126726219728e-15
"TCGA.3A.A9IX.01"	0.423912278392504	0.0230339396041369	0.0296610057872847
"TCGA.3A.A9J0.01"	1.48032510689587e-14	0.00334889645791608	1.48032510689587e-14
"TCGA.3E.AAAZ.01"	6.40220992380189e-15	6.40220992380189e-15	6.40220992380189e-15
"TCGA.F2.7273.01"	0.0601358178685177	0.234548009455011	0.0481020482364928
"TCGA.F2.7276.01"	0.368013922802145	0.108190324205605	0.0791095782771513
"TCGA.F2.A44G.01"	1.38157121945368e-14	1.38157121945368e-14	0.0474057891380146
"TCGA.F2.A44H.01"	1.39747283762216e-14	0.142327307614042	1.39747283762216e-14
"TCGA.FB.A4P5.01"	0.361346655100854	0.0622710649391099	0.139020399058134
"TCGA.FB.A545.01"	2.74040301323774e-15	2.74040301323774e-15	2.74040301323774e-15
"TCGA.FB.A7DR.01"	7.3038803779753e-15	7.3038803779753e-15	0.0772569586418536
"TCGA.FB.AAPS.01"	0.280587896727431	0.125418311330458	0.0781954115307297
"TCGA.H6.8124.01"	5.25007548605015e-15	5.25007548605015e-15	5.25007548605015e-15
"TCGA.H6.A45N.01"	0.236511120445172	0.0730542185118229	0.113624863926698
"TCGA.HV.A5A4.01"	0.00866939484903235	1.33786252184078e-14	0.00786210386568275
"TCGA.HV.AA8V.01"	2.01862399743695e-14	0.0208451723768127	0.00409231060901362
"TCGA.HZ.7918.01"	0.215281360033735	0.164818551402549	0.245062107943297
"TCGA.HZ.7920.01"	0.205110249012521	0.0485915004352602	0.124009827098477
"TCGA.HZ.7922.01"	0.0119291059180429	0.00453369047294375	0.0258704321255417
"TCGA.HZ.7923.01"	0.436134850714979	0.138136740600761	0.0698610600478493
"TCGA.HZ.7925.01"	1.62290648720724e-14	0.013511351964789	1.62290648720724e-14
"TCGA.HZ.8001.01"	0.185807469834746	0.142844600268413	0.112010777606708
"TCGA.HZ.8002.01"	0.181325595672846	0.102438656802661	0.000842666790187954
"TCGA.HZ.8003.01"	0.0936018608250953	0.116368232237574	0.138378718492688
"TCGA.HZ.8005.01"	1.3198834966747e-14	0.0605706954751106	0.269247854222322
"TCGA.HZ.8315.01"	0.0793103234051547	0.123950249867878	0.3429767217723
"TCGA.HZ.8519.01"	0.192228705966163	0.0446082297106825	0.097411365833341
"TCGA.HZ.8636.01"	0.053754515621659	0.144514408818994	0.0823093758050166
"TCGA.HZ.8637.01"	0.30402074706034	0.151408808855548	0.293675552059198
"TCGA.HZ.A49G.01"	0.147205214449152	0.247133454480289	0.0816924456268793
"TCGA.HZ.A49H.01"	0.254944847152376	1.35933014245477e-14	0.200732789155152
"TCGA.HZ.A77P.01"	1.6478500223896e-14	0.0604781512057169	0.0105492157104594
"TCGA.HZ.A77Q.01"	0.345307175786293	0.205292590550975	0.119344682873642
"TCGA.IB.7645.01"	0.288735661476252	0.260282117782872	0.103935768875592
"TCGA.IB.7646.01"	1.07987562837317e-14	0.114930098511805	0.209791946952495
"TCGA.IB.7647.01"	0.414384947284311	0.228725990810928	0.0128282443200208
"TCGA.IB.7649.01"	0.106135353170963	0.214133418168638	0.065317597712729
"TCGA.IB.7651.01"	0.0325546976236395	0.20028768860758	0.34975282821193
"TCGA.IB.7654.01"	7.8948566901591e-15	7.8948566901591e-15	7.8948566901591e-15
"TCGA.IB.7885.01"	0.0449496648580703	0.142000746239126	0.146901682439614
"TCGA.IB.7886.01"	1.36683844624227e-14	0.0549163167839279	0.217185213641114
"TCGA.IB.7887.01"	9.23007401412074e-15	9.23007401412074e-15	0.0267369720029564
"TCGA.IB.7888.01"	0.296075967393146	0.210695708614451	0.0805678841466163
"TCGA.IB.7890.01"	0.000196717482876149	0.0826293418130966	1.19048162169405e-14
"TCGA.IB.7891.01"	0.167737734114061	0.258732938858306	0.208326833165933
"TCGA.IB.7893.01"	1.01337597168287e-14	0.0311909462326282	0.0105500871536368
"TCGA.IB.7897.01"	0.334385586719329	0.129017305408538	0.0932425399899679
"TCGA.IB.8126.01"	0.125190408569587	0.0370590920184596	0.042929444459038
"TCGA.IB.8127.01"	0.00936148715999911	0.113564205603394	0.103090916823912
"TCGA.IB.A5SO.01"	0.339716335025872	0.215354554409118	0.0182261544776011
